sort2,sort1,species,replicate,tag_ID,site,age,date,year,segment,node_below,node_above,plant_status,use_status,stem_weight,leaf_weight,root_weight,diameter_1,diameter_2,diameter_3,diameter_ave,total_stem_weight,total_leaf_weight,total_plant_weight,height,notes
1818,,GRBU,B-03,GRBU_B-03,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,96.6,357.7,,1.48,1.48,1.47,1.48,96.6,357.7,454.3,143,
1819,,GRBU,B-04,GRBU_B-04,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,18.2,51,,1.48,1.41,1.37,1.42,18.2,51,69.2,44,
1820,,GRSP,B-01,GRSP_B-01,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,64,194,,1.33,1.25,1.29,1.29,64,194,258,147,
1821,,GRSP,B-02,GRSP_B-02,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,84,340.9,,1.33,1.24,1.17,1.25,84,340.9,424.9,125,
1822,,GRSP,B-03,GRSP_B-03,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,33.8,193,,1,1.01,1.04,1.02,33.8,193,226.8,72,
1823,,GRSP,B-04,GRSP_B-04,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,106,507.6,,1.53,1.52,1.46,1.5,106,507.6,613.6,140,
1824,,GRSP,B-05,GRSP_B-05,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,78.7,379.9,,1.39,1.28,1.35,1.34,78.7,379.9,458.6,119,
1825,,HATE,B-01,HATE_B-01,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,145.2,630,,1.91,,,1.91,145.2,630,775.2,135,
1826,,HATE,B-02,HATE_B-02,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,101.5,401.9,,1.64,1.66,16.68,6.66,101.5,401.9,503.4,138,
1827,,HATE,B-03,HATE_B-03,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,241.4,740.9,,2.53,2.66,2.7,2.63,241.4,740.9,982.3,145,
1828,,HATE,B-04,HATE_B-04,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,92.7,445.7,,1.94,1.93,1.91,1.93,92.7,445.7,538.4,100,
1829,,HATE,B-05,HATE_B-05,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,72.6,394.7,,1.85,1.91,1.91,1.89,72.6,394.7,467.3,93,
,,HATE,B-06,HATE_B-06,baby,0.1,28-Jun-13,2013,1,0,1,alive,do_not_use,14.3,70.2,,1.37,1.39,,,,,,58,
1862,,HEPU,B-01,HEPU_B-01,baby,0.1,22-Jan-14,2013,1,0,1,alive,do_not_use,11.6,32.4,,0.53,0.58,,0.56,11.6,32.4,44,75,
1860,,HEPU,B-02,HEPU_B-02,baby,0.1,22-Jan-14,2013,1,0,1,alive,do_not_use,16.4,35.3,,0.59,0.53,,0.56,16.4,35.3,51.7,115,
1859,,HEPU,B-03,HEPU_B-03,baby,0.1,22-Jan-14,2013,1,0,1,alive,do_not_use,25.6,80.3,,0.57,0.61,,0.59,25.6,80.3,105.9,116,
1858,,HEPU,B-04,HEPU_B-04,baby,0.1,22-Jan-14,2013,1,0,1,alive,do_not_use,7,22,,0.49,0.52,,0.51,7,22,29,56,
1830,,LEES,B-01,LEES_B-01,baby,0.1,22-Jan-14,2013,1,0,1,alive,do_not_use,2.6,10.9,,0.36,,,0.36,2.6,10.9,13.5,33,21 mm with lvs
1831,,LEES,B-02,LEES_B-02,baby,0.1,22-Jan-14,2013,1,0,1,alive,do_not_use,3.1,12.9,,0.36,,,0.36,3.1,12.9,16,38,20 mm with leaves
1856,,LEES,B-03,LEES_B-03,baby,0.1,22-Jan-14,2013,1,0,1,alive,do_not_use,4.6,18.6,,0.52,0.51,,0.52,4.6,18.6,23.2,41,
