species,replicate,tag_ID,site,age,date_tagged,use_RA_calc,use_allometric
EPMI,2,EPMI_002,Basin2005,7,24-May-12,use,use
EPMI,3,EPMI_003,Basin2005,7,24-May-12,use,use
EPMI,4,EPMI_004,Basin2005,7,24-May-12,use,use
EPMI,5,EPMI_005,Basin2005,7,24-May-12,use,use
EPMI,6,EPMI_006,Basin2005,7,24-May-12,use,use
EPMI,7,EPMI_007,Basin2005,7,24-May-12,use,use
EPMI,101,EPMI_101,Waratah2011,1.4,15-Jun-12,use,use
EPMI,102,EPMI_102,Waratah2011,1.4,15-Jun-12,use,use
EPMI,104,EPMI_104,Waratah2011,1.4,15-Jun-12,use,use
EPMI,105,EPMI_105,Waratah2011,1.4,15-Jun-12,use,use
EPMI,106,EPMI_106,Waratah2011,1.4,15-Jun-12,use,use
EPMI,108,EPMI_108,Waratah2011,1.4,29-Jun-12,use,use
EPMI,109,EPMI_109,Waratah2011,1.4,2-Nov-12,use,use
EPMI,111,EPMI_111,Waratah2011,1.4,3-May-12,do_not_use,do_not_use
EPMI,112,EPMI_112,Waratah2011,1.4,3-May-12,do_not_use,do_not_use
EPMI,113,EPMI_113,Waratah2011,1.4,4-May-12,do_not_use,do_not_use
EPMI,116,EPMI_116,Waratah2011,1.4,9-Aug-12,do_not_use,do_not_use
EPMI,401,EPMI_401,Basin2007,5,1-Jun-12,use,use
EPMI,402,EPMI_402,Basin2007,5,1-Jun-12,use,use
EPMI,403,EPMI_403,Basin2007,5,1-Jun-12,use,use
EPMI,404,EPMI_404,Basin2007,5,1-Jun-12,use,use
EPMI,405,EPMI_405,Basin2007,5,1-Jun-12,use,use
EPMI,406,EPMI_406,Basin2007,5,1-Jun-12,use,use
EPMI,407,EPMI_407,Basin2007,5,1-Jun-12,use,use
EPMI,801,EPMI_801,Waratah2003,9,18-May-12,use,use
EPMI,802,EPMI_802,Waratah2003,9,18-May-12,use,use
EPMI,803,EPMI_803,Waratah2003,9,18-May-12,use,use
EPMI,804,EPMI_804,Waratah2003,9,18-May-12,use,use
EPMI,805,EPMI_805,Waratah2003,9,18-May-12,use,use
EPMI,806,EPMI_806,Waratah2003,9,18-May-12,use,use
EPMI,807,EPMI_807,Waratah2003,9,18-May-12,use,use
EPMI,808,EPMI_808,Waratah2003,9,28-Jun-12,use,use
EPMI,901,EPMI_901,Basin1981,32,31-May-12,use,use
EPMI,902,EPMI_902,Basin1981,32,7-Jun-12,use,use
EPMI,903,EPMI_903,Basin1981,32,7-Jun-12,use,use
EPMI,904,EPMI_904,Basin1981,32,7-Jun-12,use,use
EPMI,905,EPMI_905,Basin1981,32,8-Jun-12,use,use
EPMI,906,EPMI_906,Basin1981,32,8-Jun-12,use,use
EPMI,907,EPMI_907,Basin1981,32,8-Jun-12,use,use
GRBU,2,GRBU_002,Basin2005,7,16-Mar-12,use,use
GRBU,3,GRBU_003,Basin2005,7,22-Mar-12,use,use
GRBU,5,GRBU_005,Basin2005,7,22-May-12,do_not_use,do_not_use
GRBU,6,GRBU_006,Basin2005,7,23-Mar-12,do_not_use,do_not_use
GRBU,7,GRBU_007,Basin2005,7,23-Mar-12,use,use
GRBU,8,GRBU_008,Basin2005,7,23-Mar-12,use,use
GRBU,9,GRBU_009,Basin2005,7,23-Mar-12,use,use
GRBU,402,GRBU_402,Basin2007,5,27-Apr-12,use,use
GRBU,403,GRBU_403,Basin2007,5,27-Apr-12,use,use
GRBU,404,GRBU_404,Basin2007,5,27-Apr-12,use,use
GRBU,405,GRBU_405,Basin2007,5,27-Apr-12,use,use
GRBU,406,GRBU_406,Basin2007,5,27-Apr-12,use,use
GRBU,407,GRBU_407,Basin2007,5,1-May-12,use,use
GRBU,408,GRBU_408,Basin2007,5,1-May-12,use,use
GRBU,801,GRBU_801,Waratah2003,9,15-May-12,use,use
GRBU,802,GRBU_802,Waratah2003,9,15-May-12,use,use
GRBU,803,GRBU_803,Waratah2003,9,15-May-12,use,use
GRBU,804,GRBU_804,Waratah2003,9,15-May-12,use,use
GRBU,805,GRBU_805,Waratah2003,9,15-May-12,use,use
GRBU,806,GRBU_806,Waratah2003,9,15-May-12,use,use
GRBU,807,GRBU_807,Waratah2003,9,15-May-12,use,use
GRBU,901,GRBU_901,Basin1981,32,31-May-12,do_not_use,do_not_use
GRBU,902,GRBU_902,Basin1981,32,31-May-12,do_not_use,do_not_use
GRBU,903,GRBU_903,Basin1981,32,7-Jun-12,use,use
GRBU,904,GRBU_904,Basin1981,32,7-Jun-12,use,use
GRBU,905,GRBU_905,Basin1981,32,8-Jun-12,use,use
GRBU,906,GRBU_906,Basin1981,32,8-Jun-12,use,use
GRBU,907,GRBU_907,Basin1981,32,8-Jun-12,use,use
GRSP,2,GRSP_002,Basin2005,7,16-Mar-12,use,use
GRSP,3,GRSP_003,Basin2005,7,16-Mar-12,use,use
GRSP,4,GRSP_004,Basin2005,7,16-Mar-12,do_not_use,do_not_use
GRSP,5,GRSP_005,Basin2005,7,1-May-12,use,use
GRSP,6,GRSP_006,Basin2005,7,1-May-12,use,use
GRSP,7,GRSP_007,Basin2005,7,1-May-12,use,use
GRSP,9,GRSP_009,Basin2005,7,28-Jun-12,use,use
GRSP,101,GRSP_101,Waratah2011,1.4,3-May-12,use,use
GRSP,102,GRSP_102,Waratah2011,1.4,3-May-12,use,use
GRSP,103,GRSP_103,Waratah2011,1.4,3-May-12,use,use
GRSP,104,GRSP_104,Waratah2011,1.4,3-May-12,use,use
GRSP,105,GRSP_105,Waratah2011,1.4,4-May-12,use,use
GRSP,106,GRSP_106,Waratah2011,1.4,4-May-12,use,use
GRSP,107,GRSP_107,Waratah2011,1.4,4-May-12,use,use
GRSP,110,GRSP_110,Waratah2011,1.4,18-May-12,use,use
GRSP,111,GRSP_111,Waratah2011,1.4,29-Jun-12,use,use
GRSP,112,GRSP_112,Waratah2011,1.4,29-Jun-12,use,use
GRSP,114,GRSP_114,Waratah2011,1.4,29-Jun-12,use,use
GRSP,116,GRSP_116,Waratah2011,1.4,29-Jun-12,use,use
GRSP,401,GRSP_401,Basin2007,5,20-Apr-12,use,use
GRSP,402,GRSP_402,Basin2007,5,20-Apr-12,use,use
GRSP,403,GRSP_403,Basin2007,5,20-Apr-12,use,use
GRSP,404,GRSP_404,Basin2007,5,20-Apr-12,use,use
GRSP,405,GRSP_405,Basin2007,5,26-Apr-12,use,use
GRSP,406,GRSP_406,Basin2007,5,26-Apr-12,use,use
GRSP,407,GRSP_407,Basin2007,5,26-Apr-12,use,use
GRSP,408,GRSP_408,Basin2007,5,20-Apr-12,use,use
GRSP,801,GRSP_801,Waratah2003,9,11-May-12,use,use
GRSP,802,GRSP_802,Waratah2003,9,11-May-12,use,use
GRSP,803,GRSP_803,Waratah2003,9,11-May-12,use,use
GRSP,804,GRSP_804,Waratah2003,9,17-May-12,use,use
GRSP,805,GRSP_805,Waratah2003,9,17-May-12,use,use
GRSP,806,GRSP_806,Waratah2003,9,17-May-12,use,use
GRSP,807,GRSP_807,Waratah2003,9,17-May-12,use,use
GRSP,901,GRSP_901,Basin1981,32,31-May-12,do_not_use,do_not_use
GRSP,902,GRSP_902,Basin1981,32,31-May-12,do_not_use,do_not_use
GRSP,903,GRSP_903,Basin1981,32,31-May-12,use,use
GRSP,904,GRSP_904,Basin1981,32,7-Jun-12,do_not_use,do_not_use
GRSP,905,GRSP_905,Basin1981,32,8-Jun-12,use,use
GRSP,907,GRSP_907,Basin1981,32,8-Jun-12,use,use
HATE,1,HATE_001,Basin2005,7,15-Mar-12,use,use
HATE,2,HATE_002,Basin2005,7,3-May-12,use,use
HATE,3,HATE_003,Basin2005,7,3-May-12,use,use
HATE,4,HATE_004,Basin2005,7,3-May-12,use,use
HATE,5,HATE_005,Basin2005,7,3-May-12,use,use
HATE,6,HATE_006,Basin2005,7,3-May-12,use,use
HATE,7,HATE_007,Basin2005,7,3-May-12,use,use
HATE,102,HATE_102,Waratah2011,1.4,4-May-12,do_not_use,do_not_use
HATE,103,HATE_103,Waratah2011,1.4,4-May-12,use,use
HATE,104,HATE_104,Waratah2011,1.4,4-May-12,use,use
HATE,105,HATE_105,Waratah2011,1.4,4-May-12,use,use
HATE,106,HATE_106,Waratah2011,1.4,4-May-12,use,use
HATE,107,HATE_107,Waratah2011,1.4,4-May-12,use,use
HATE,108,HATE_108,Waratah2011,1.4,4-May-12,use,use
HATE,401,HATE_401,Basin2007,5,20-Apr-12,use,use
HATE,402,HATE_402,Basin2007,5,20-Apr-12,use,use
HATE,403,HATE_403,Basin2007,5,20-Apr-12,use,use
HATE,404,HATE_404,Basin2007,5,20-Apr-12,use,use
HATE,405,HATE_405,Basin2007,5,26-Apr-12,use,use
HATE,406,HATE_406,Basin2007,5,26-Apr-12,use,use
HATE,407,HATE_407,Basin2007,5,26-Apr-12,use,use
HATE,801,HATE_801,Waratah2003,9,17-May-12,use,use
HATE,802,HATE_802,Waratah2003,9,17-May-12,use,use
HATE,803,HATE_803,Waratah2003,9,17-May-12,use,use
HATE,804,HATE_804,Waratah2003,9,17-May-12,use,use
HATE,805,HATE_805,Waratah2003,9,17-May-12,use,use
HATE,806,HATE_806,Waratah2003,9,17-May-12,use,use
HATE,807,HATE_807,Waratah2003,9,17-May-12,use,use
HATE,901,HATE_901,Basin1981,32,14-Jun-12,use,use
HATE,902,HATE_902,Basin1981,32,14-Jun-12,use,use
HATE,903,HATE_903,Basin1981,32,14-Jun-12,use,use
HATE,904,HATE_904,Basin1981,32,14-Jun-12,use,use
HATE,905,HATE_905,Basin1981,32,14-Jun-12,use,use
HATE,906,HATE_906,Basin1981,32,14-Jun-12,use,use
HATE,907,HATE_907,Basin1981,32,14-Jun-12,use,use
HEPU,1,HEPU_001,Basin2005,7,15-Mar-12,use,use
HEPU,2,HEPU_002,Basin2005,7,15-Mar-12,use,use
HEPU,3,HEPU_003,Basin2005,7,15-Mar-12,do_not_use,do_not_use
HEPU,4,HEPU_004,Basin2005,7,16-Mar-12,use,use
HEPU,5,HEPU_005,Basin2005,7,16-Mar-12,do_not_use,do_not_use
HEPU,6,HEPU_006,Basin2005,7,1-May-12,use,use
HEPU,7,HEPU_007,Basin2005,7,1-May-12,use,use
HEPU,9,HEPU_009,Basin2005,7,29-Jun-12,use,use
HEPU,106,HEPU_106,Waratah2011,1.4,4-May-12,use,use
HEPU,107,HEPU_107,Waratah2011,1.4,4-May-12,use,use
HEPU,108,HEPU_108,Waratah2011,1.4,15-Jun-12,use,use
HEPU,109,HEPU_109,Waratah2011,1.4,15-Jun-12,use,use
HEPU,110,HEPU_110,Waratah2011,1.4,15-Jun-12,use,use
HEPU,111,HEPU_111,Waratah2011,1.4,15-Jun-12,use,use
HEPU,112,HEPU_112,Waratah2011,1.4,15-Jun-12,use,use
HEPU,113,HEPU_113,Waratah2011,1.4,2-Nov-12,use,use
HEPU,402,HEPU_402,Basin2007,5,20-Apr-12,use,use
HEPU,403,HEPU_403,Basin2007,5,20-Apr-12,use,use
HEPU,404,HEPU_404,Basin2007,5,26-Apr-12,use,use
HEPU,405,HEPU_405,Basin2007,5,26-Apr-12,use,use
HEPU,406,HEPU_406,Basin2007,5,26-Apr-12,use,use
HEPU,407,HEPU_407,Basin2007,5,27-Apr-12,use,use
HEPU,408,HEPU_408,Basin2007,5,1-Jun-12,use,use
HEPU,801,HEPU_801,Waratah2003,9,11-May-12,use,use
HEPU,802,HEPU_802,Waratah2003,9,11-May-12,use,use
HEPU,803,HEPU_803,Waratah2003,9,11-May-12,use,use
HEPU,804,HEPU_804,Waratah2003,9,11-May-12,use,use
HEPU,805,HEPU_805,Waratah2003,9,15-May-12,use,use
HEPU,806,HEPU_806,Waratah2003,9,15-May-12,use,use
HEPU,807,HEPU_807,Waratah2003,9,17-May-12,use,use
HEPU,901,HEPU_901,Basin1981,32,31-May-12,do_not_use,do_not_use
HEPU,902,HEPU_902,Basin1981,32,31-May-12,do_not_use,do_not_use
HEPU,903,HEPU_903,Basin1981,32,7-Jun-12,do_not_use,do_not_use
HEPU,904,HEPU_904,Basin1981,32,7-Jun-12,do_not_use,do_not_use
HEPU,905,HEPU_905,Basin1981,32,7-Jun-12,do_not_use,do_not_use
HEPU,906,HEPU_906,Basin1981,32,8-Jun-12,do_not_use,do_not_use
HEPU,907,HEPU_907,Basin1981,32,8-Jun-12,do_not_use,do_not_use
LEES,1,LEES_001,Basin2005,7,16-Mar-12,use,use
LEES,2,LEES_002,Basin2005,7,22-Mar-12,use,use
LEES,3,LEES_003,Basin2005,7,22-Mar-12,use,use
LEES,4,LEES_004,Basin2005,7,22-Mar-12,use,use
LEES,5,LEES_005,Basin2005,7,22-Mar-12,use,use
LEES,6,LEES_006,Basin2005,7,23-Mar-12,use,use
LEES,7,LEES_007,Basin2005,7,23-Mar-12,use,use
LEES,102,LEES_102,Waratah2011,1.4,3-May-12,use,use
LEES,110,LEES_110,Waratah2011,1.4,15-Jun-12,use,use
LEES,114,LEES_114,Waratah2011,1.4,9-Aug-12,use,use
LEES,401,LEES_401,Basin2007,5,20-Apr-12,use,use
LEES,402,LEES_402,Basin2007,5,20-Apr-12,use,use
LEES,403,LEES_403,Basin2007,5,20-Apr-12,use,use
LEES,404,LEES_404,Basin2007,5,26-Apr-12,use,use
LEES,405,LEES_405,Basin2007,5,27-Apr-12,use,use
LEES,406,LEES_406,Basin2007,5,27-Apr-12,use,use
LEES,407,LEES_407,Basin2007,5,27-Apr-12,use,use
LEES,801,LEES_801,Waratah2003,9,11-May-12,use,use
LEES,802,LEES_802,Waratah2003,9,11-May-12,use,use
LEES,803,LEES_803,Waratah2003,9,11-May-12,use,use
LEES,804,LEES_804,Waratah2003,9,15-May-12,use,use
LEES,805,LEES_805,Waratah2003,9,18-May-12,use,use
LEES,806,LEES_806,Waratah2003,9,18-May-12,use,use
LEES,807,LEES_807,Waratah2003,9,18-May-12,use,use
LEES,901,LEES_901,Basin1981,32,31-May-12,use,use
LEES,902,LEES_902,Basin1981,32,31-May-12,use,use
LEES,903,LEES_903,Basin1981,32,31-May-12,use,use
LEES,904,LEES_904,Basin1981,32,31-May-12,use,use
LEES,905,LEES_905,Basin1981,32,31-May-12,use,use
LEES,906,LEES_906,Basin1981,32,7-Jun-12,do_not_use,do_not_use
LEES,907,LEES_907,Basin1981,32,8-Jun-12,use,use
PELA,1,PELA_001,Basin2005,7,15-Mar-12,use,use
PELA,2,PELA_002,Basin2005,7,15-Mar-12,use,use
PELA,3,PELA_003,Basin2005,7,15-Mar-12,use,use
PELA,4,PELA_004,Basin2005,7,22-Mar-12,use,use
PELA,5,PELA_005,Basin2005,7,22-Mar-12,use,use
PELA,6,PELA_006,Basin2005,7,23-Mar-12,use,use
PELA,7,PELA_007,Basin2005,7,23-Mar-12,use,use
PELA,103,PELA_103,Waratah2011,1.4,4-May-12,use,use
PELA,104,PELA_104,Waratah2011,1.4,4-May-12,use,use
PELA,108,PELA_108,Waratah2011,1.4,4-May-12,use,use
PELA,113,PELA_113,Waratah2011,1.4,15-Jun-12,use,use
PELA,118,PELA_118,Waratah2011,1.4,30-Aug-12,use,use
PELA,120,PELA_120,Waratah2011,1.4,2-Nov-12,use,use
PELA,122,PELA_122,Waratah2011,1.4,2-Nov-12,use,use
PELA,401,PELA_401,Basin2007,5,20-Apr-12,use,use
PELA,402,PELA_402,Basin2007,5,26-Apr-12,use,use
PELA,403,PELA_403,Basin2007,5,26-Apr-12,use,use
PELA,404,PELA_404,Basin2007,5,26-Apr-12,use,use
PELA,405,PELA_405,Basin2007,5,26-Apr-12,use,use
PELA,406,PELA_406,Basin2007,5,26-Apr-12,use,use
PELA,407,PELA_407,Basin2007,5,27-Apr-12,use,use
PELA,801,PELA_801,Waratah2003,9,11-May-12,use,use
PELA,802,PELA_802,Waratah2003,9,11-May-12,use,use
PELA,803,PELA_803,Waratah2003,9,11-May-12,use,use
PELA,804,PELA_804,Waratah2003,9,15-May-12,use,use
PELA,805,PELA_805,Waratah2003,9,15-May-12,use,use
PELA,806,PELA_806,Waratah2003,9,17-May-12,use,use
PELA,807,PELA_807,Waratah2003,9,17-May-12,use,use
PELA,901,PELA_901,Basin1981,32,8-Jun-12,use,use
PELA,902,PELA_902,Basin1981,32,8-Jun-12,use,use
PELA,903,PELA_903,Basin1981,32,14-Jun-12,use,use
PELA,904,PELA_904,Basin1981,32,14-Jun-12,use,use
PELA,905,PELA_905,Basin1981,32,14-Jun-12,use,use
PELA,906,PELA_906,Basin1981,32,14-Jun-12,use,use
PELA,907,PELA_907,Basin1981,32,14-Jun-12,use,use
PEPU,1,PEPU_001,Basin2005,7,15-Mar-12,use,use
PEPU,2,PEPU_002,Basin2005,7,15-Mar-12,use,use
PEPU,3,PEPU_003,Basin2005,7,16-Mar-12,use,use
PEPU,4,PEPU_004,Basin2005,7,16-Mar-12,use,use
PEPU,5,PEPU_005,Basin2005,7,22-Mar-12,use,use
PEPU,6,PEPU_006,Basin2005,7,22-Mar-12,use,use
PEPU,7,PEPU_007,Basin2005,7,22-Mar-12,use,use
PEPU,158,PEPU_158,Waratah2011,1.4,18-Jun-12,do_not_use,do_not_use
PEPU,401,PEPU_401,Basin2007,5,20-Apr-12,use,use
PEPU,403,PEPU_403,Basin2007,5,26-Apr-12,use,use
PEPU,404,PEPU_404,Basin2007,5,26-Apr-12,use,use
PEPU,405,PEPU_405,Basin2007,5,26-Apr-12,use,use
PEPU,406,PEPU_406,Basin2007,5,27-Apr-12,use,use
PEPU,407,PEPU_407,Basin2007,5,27-Apr-12,use,use
PEPU,801,PEPU_801,Waratah2003,9,11-May-12,use,use
PEPU,802,PEPU_802,Waratah2003,9,11-May-12,use,use
PEPU,803,PEPU_803,Waratah2003,9,11-May-12,use,use
PEPU,804,PEPU_804,Waratah2003,9,11-May-12,use,use
PEPU,805,PEPU_805,Waratah2003,9,17-May-12,use,use
PEPU,806,PEPU_806,Waratah2003,9,17-May-12,use,use
PEPU,807,PEPU_807,Waratah2003,9,18-May-12,use,use
PEPU,901,PEPU_901,Basin1981,32,31-May-12,use,use
PEPU,902,PEPU_902,Basin1981,32,31-May-12,use,use
PEPU,903,PEPU_903,Basin1981,32,31-May-12,use,use
PEPU,904,PEPU_904,Basin1981,32,31-May-12,use,use
PEPU,905,PEPU_905,Basin1981,32,8-Jun-12,use,use
PEPU,906,PEPU_906,Basin1981,32,8-Jun-12,use,use
PEPU,907,PEPU_907,Basin1981,32,8-Jun-12,use,use
PHPH,1,PHPH_001,Basin2005,7,15-Mar-12,use,use
PHPH,2,PHPH_002,Basin2005,7,16-Mar-12,use,use
PHPH,3,PHPH_003,Basin2005,7,16-Mar-12,use,use
PHPH,4,PHPH_004,Basin2005,7,22-Mar-12,use,use
PHPH,5,PHPH_005,Basin2005,7,22-Mar-12,use,use
PHPH,6,PHPH_006,Basin2005,7,22-Mar-12,use,use
PHPH,7,PHPH_007,Basin2005,7,23-Mar-12,use,use
xx,101,PHPH_101,Waratah2011,1.4,3-May-12,do_not_use,do_not_use
xx,103,PHPH_103,Waratah2011,1.4,3-May-12,do_not_use,do_not_use
xx,104,PHPH_104,Waratah2011,1.4,3-May-12,do_not_use,do_not_use
xx,111,PHPH_111,Waratah2011,1.4,30-Aug-12,do_not_use,do_not_use
xx,112,PHPH_112,Waratah2011,1.4,2-Nov-12,do_not_use,do_not_use
PHPH,401,PHPH_401,Basin2007,5,27-Apr-12,use,use
PHPH,402,PHPH_402,Basin2007,5,27-Apr-12,use,use
PHPH,403,PHPH_403,Basin2007,5,27-Apr-12,use,use
PHPH,404,PHPH_404,Basin2007,5,27-Apr-12,use,use
PHPH,405,PHPH_405,Basin2007,5,27-Apr-12,use,use
PHPH,406,PHPH_406,Basin2007,5,27-Apr-12,use,use
PHPH,407,PHPH_407,Basin2007,5,27-Apr-12,use,use
PHPH,801,PHPH_801,Waratah2003,9,11-May-12,use,use
PHPH,802,PHPH_802,Waratah2003,9,11-May-12,use,use
PHPH,803,PHPH_803,Waratah2003,9,11-May-12,use,use
PHPH,804,PHPH_804,Waratah2003,9,11-May-12,use,use
PHPH,805,PHPH_805,Waratah2003,9,15-May-12,use,use
PHPH,806,PHPH_806,Waratah2003,9,17-May-12,use,use
PHPH,807,PHPH_807,Waratah2003,9,17-May-12,use,use
PHPH,902,PHPH_902,Basin1981,32,31-May-12,use,use
PHPH,903,PHPH_903,Basin1981,32,31-May-12,use,use
PHPH,904,PHPH_904,Basin1981,32,31-May-12,use,use
PHPH,905,PHPH_905,Basin1981,32,7-Jun-12,use,use
PHPH,906,PHPH_906,Basin1981,32,7-Jun-12,use,use
PHPH,907,PHPH_907,Basin1981,32,8-Jun-12,use,use
PHPH,908,PHPH_908,Basin1981,32,7-Aug-12,use,use
PILI,1,PILI_001,Basin2005,7,15-Mar-12,use,use
PILI,2,PILI_002,Basin2005,7,16-Mar-12,use,use
PILI,3,PILI_003,Basin2005,7,16-Mar-12,use,use
PILI,4,PILI_004,Basin2005,7,16-Mar-12,use,use
PILI,5,PILI_005,Basin2005,7,22-Mar-12,use,use
PILI,6,PILI_006,Basin2005,7,22-Mar-12,use,use
PILI,7,PILI_007,Basin2005,7,23-Mar-12,use,use
PILI,102,PILI_102,Waratah2011,1.4,4-May-12,use,use
PILI,105,PILI_105,Waratah2011,1.4,4-May-12,use,use
PILI,107,PILI_107,Waratah2011,1.4,4-May-12,use,use
PILI,108,PILI_108,Waratah2011,1.4,15-Jun-12,use,use
PILI,109,PILI_109,Waratah2011,1.4,15-Jun-12,use,use
