species,replicate,tag_ID,site,age,date_tagged,use_RA_calc,use_allometric
BAER,1,BAER_001,Basin2005,7,15-Mar-12,use,use
BAER,2,BAER_002,Basin2005,7,1-May-12,use,use
BAER,3,BAER_003,Basin2005,7,3-May-12,use,use
BAER,4,BAER_004,Basin2005,7,3-May-12,use,use
BAER,5,BAER_005,Basin2005,7,3-May-12,use,use
BAER,6,BAER_006,Basin2005,7,3-May-12,use,use
BAER,7,BAER_007,Basin2005,7,3-May-12,use,use
BAER,101,BAER_101,Waratah2011,1.4,3-May-12,use,use
BAER,102,BAER_102,Waratah2011,1.4,3-May-12,use,use
BAER,103,BAER_103,Waratah2011,1.4,3-May-12,use,use
BAER,104,BAER_104,Waratah2011,1.4,3-May-12,use,use
BAER,105,BAER_105,Waratah2011,1.4,4-May-12,use,use
BAER,106,BAER_106,Waratah2011,1.4,4-May-12,use,use
BAER,107,BAER_107,Waratah2011,1.4,4-May-12,use,use
BAER,401,BAER_401,Basin2007,5,20-Apr-12,use,use
BAER,402,BAER_402,Basin2007,5,20-Apr-12,use,use
BAER,403,BAER_403,Basin2007,5,26-Apr-12,use,use
BAER,404,BAER_404,Basin2007,5,26-Apr-12,use,use
BAER,405,BAER_405,Basin2007,5,27-Apr-12,use,use
BAER,406,BAER_406,Basin2007,5,27-Apr-12,use,use
BAER,407,BAER_407,Basin2007,5,27-Apr-12,use,use
BAER,801,BAER_801,Waratah2003,9,17-May-12,use,use
BAER,802,BAER_802,Waratah2003,9,17-May-12,use,use
BAER,803,BAER_803,Waratah2003,9,17-May-12,use,use
BAER,804,BAER_804,Waratah2003,9,17-May-12,use,use
BAER,805,BAER_805,Waratah2003,9,17-May-12,use,use
BAER,806,BAER_806,Waratah2003,9,17-May-12,use,use
BAER,807,BAER_807,Waratah2003,9,17-May-12,use,use
BAER,901,BAER_901,Basin1981,32,14-Jun-12,use,use
BAER,902,BAER_902,Basin1981,32,14-Jun-12,use,use
BAER,903,BAER_903,Basin1981,32,14-Jun-12,use,use
BAER,904,BAER_904,Basin1981,32,14-Jun-12,use,use
BAER,905,BAER_905,Basin1981,32,14-Jun-12,use,use
BAER,906,BAER_906,Basin1981,32,14-Jun-12,use,use
BAER,907,BAER_907,Basin1981,32,19-Jun-12,use,use
BOLE,1,BOLE_001,Basin2005,7,15-Mar-12,use,use
BOLE,2,BOLE_002,Basin2005,7,23-Mar-12,use,use
BOLE,3,BOLE_003,Basin2005,7,23-Mar-12,use,use
BOLE,4,BOLE_004,Basin2005,7,23-Mar-12,use,use
BOLE,6,BOLE_006,Basin2005,7,3-May-12,use,use
BOLE,7,BOLE_007,Basin2005,7,3-May-12,use,use
BOLE,8,BOLE_008,Basin2005,7,1-Jun-12,use,use
BOLE,101,BOLE_101,Waratah2011,1.4,4-May-12,use,use
BOLE,105,BOLE_105,Waratah2011,1.4,4-May-12,use,use
BOLE,110,BOLE_110,Waratah2011,1.4,15-Jun-12,use,use
BOLE,111,BOLE_111,Waratah2011,1.4,15-Jun-12,use,use
BOLE,112,BOLE_112,Waratah2011,1.4,15-Jun-12,use,use
BOLE,113,BOLE_113,Waratah2011,1.4,18-May-12,use,use
BOLE,114,BOLE_114,Waratah2011,1.4,9-Aug-12,use,use
BOLE,115,BOLE_115,Waratah2011,1.4,9-Aug-12,use,use
BOLE,116,BOLE_116,Waratah2011,1.4,30-Aug-12,use,use
BOLE,117,BOLE_117,Waratah2011,1.4,2-Nov-12,use,use
BOLE,119,BOLE_119,Waratah2011,1.4,29-Jun-12,use,use
BOLE,401,BOLE_401,Basin2007,5,20-Apr-12,use,use
BOLE,402,BOLE_402,Basin2007,5,20-Apr-12,use,use
BOLE,403,BOLE_403,Basin2007,5,20-Apr-12,use,use
BOLE,404,BOLE_404,Basin2007,5,26-Apr-12,use,use
BOLE,405,BOLE_405,Basin2007,5,27-Apr-12,use,use
BOLE,407,BOLE_407,Basin2007,5,27-Apr-12,use,use
BOLE,408,BOLE_408,Basin2007,5,1-Jun-12,use,use
BOLE,801,BOLE_801,Waratah2003,9,15-May-12,use,use
BOLE,802,BOLE_802,Waratah2003,9,15-May-12,use,use
BOLE,803,BOLE_803,Waratah2003,9,15-May-12,use,use
BOLE,804,BOLE_804,Waratah2003,9,15-May-12,use,use
BOLE,805,BOLE_805,Waratah2003,9,15-May-12,use,use
BOLE,806,BOLE_806,Waratah2003,9,15-May-12,use,use
BOLE,807,BOLE_807,Waratah2003,9,15-May-12,use,use
COER,1,COER_001,Basin2005,7,15-Mar-12,use,use
COER,2,COER_002,Basin2005,7,15-Mar-12,do_not_use,do_not_use
COER,3,COER_003,Basin2005,7,15-Mar-12,use,use
COER,4,COER_004,Basin2005,7,16-Mar-12,do_not_use,do_not_use
COER,5,COER_005,Basin2005,7,23-Mar-12,use,use
COER,6,COER_006,Basin2005,7,23-Mar-12,do_not_use,do_not_use
COER,7,COER_007,Basin2005,7,23-Mar-12,do_not_use,do_not_use
xx,103,COER_103,Waratah2011,1.4,9-Aug-12,do_not_use,do_not_use
xx,104,COER_104,Waratah2011,1.4,4-May-12,do_not_use,do_not_use
xx,111,COER_111,Waratah2011,1.4,15-Jun-12,do_not_use,do_not_use
xx,112,COER_112,Waratah2011,1.4,15-Jun-12,do_not_use,do_not_use
xx,115,COER_115,Waratah2011,1.4,2-Nov-12,do_not_use,do_not_use
COER,401,COER_401,Basin2007,5,27-Apr-12,use,use
COER,402,COER_402,Basin2007,5,27-Apr-12,use,use
COER,403,COER_403,Basin2007,5,27-Apr-12,use,use
COER,404,COER_404,Basin2007,5,27-Apr-12,use,use
COER,405,COER_405,Basin2007,5,27-Apr-12,use,use
COER,406,COER_406,Basin2007,5,27-Apr-12,use,use
COER,407,COER_407,Basin2007,5,27-Apr-12,use,use
COER,801,COER_801,Waratah2003,9,11-May-12,use,use
COER,802,COER_802,Waratah2003,9,11-May-12,use,use
COER,803,COER_803,Waratah2003,9,11-May-12,use,use
COER,804,COER_804,Waratah2003,9,11-May-12,use,use
COER,805,COER_805,Waratah2003,9,15-Jun-12,do_not_use,do_not_use
COER,806,COER_806,Waratah2003,9,17-May-12,use,use
COER,807,COER_807,Waratah2003,9,17-May-12,use,use
EPMI,1,EPMI_001,Basin2005,7,24-May-12,use,use
