tag_ID,diameter_start,length_start,diameter_end,new_length,segment,leaves_start_length,leaves_start_count,leaves_finish_length,leaves_end_count,leaves_new,leaves_new_count,new&shed,
HATE_402,,,,,,,,,,,,,
HATE_403,,,,,,,,,,,,,
HATE_404,,,,,,,,,,,,,
HATE_405,,,,,,,,,,,,,
HATE_406,,,,,,,,,,,,,
HATE_407,,,,,,,,,,,,,
HEPU_402,,,,,,,,,,,,,
HEPU_403,,,,,,,,,,,,,
HEPU_404,,,,,,,,,,,,,
HEPU_405,,,,,,,,,,,,,
HEPU_406,,,,,,,,,,,,,
HEPU_407,,,,,,,,,,,,,
HEPU_408,,,,,,,,,,,,,
LEES_401,,,,,,,,,,,,,
LEES_402,,,,,,,,,,,,,
LEES_403,,,,,,,,,,,,,
LEES_404,,,,,,,,,,,,,
LEES_405,,,,,,,,,,,,,
LEES_406,,,,,,,,,,,,,
LEES_407,,,,,,,,,,,,,
PELA_401,,,,,,,,,,,,,
PELA_402,,,,,,,,,,,,,
PELA_403,,,,,,,,,,,,,
PELA_404,,,,,,,,,,,,,
PELA_405,,,,,,,,,,,,,
PELA_406,,,,,,,,,,,,,
PELA_407,,,,,,,,,,,,,
PEPU_401,,,,,,,,,,,,,
PEPU_403,,,,,,,,,,,,,
PEPU_404,,,,,,,,,,,,,
PEPU_405,,,,,,,,,,,,,
PEPU_406,,,,,,,,,,,,,
PEPU_407,,,,,,,,,,,,,
PHPH_401,,,,,,,,,,,,,
PHPH_402,,,,,,,,,,,,,
PHPH_403,,,,,,,,,,,,,
PHPH_404,,,,,,,,,,,,,
PHPH_405,,,,,,,,,,,,,
PHPH_406,,,,,,,,,,,,,
PHPH_407,,,,,,,,,,,,,
PILI_401,,,,,,,,,,,,,
PILI_402,,,,,,,,,,,,,
PILI_403,,,,,,,,,,,,,
PILI_404,,,,,,,,,,,,,
PILI_405,,,,,,,,,,,,,
PILI_406,,,,,,,,,,,,,
PILI_407,,,,,,,,,,,,,
PUTU_401,,,,,,,,,,,,,
PUTU_402,,,,,,,,,,,,,
PUTU_403,,,,,,,,,,,,,
PUTU_404,,,,,,,,,,,,,
PUTU_405,,,,,,,,,,,,,
PUTU_406,,,,,,,,,,,,,
PUTU_407,,,,,,,,,,,,,
BAER_001,,,,,,,,,,,,,
BAER_002,,,,,,,,,,,,,
BAER_003,,,,,,,,,,,,,
BAER_004,,,,,,,,,,,,,
BAER_005,,,,,,,,,,,,,
BAER_006,,,,,,,,,,,,,
