species,site,age,age2,branch_age,indiv_pooled,lvs_per_ind,leaf_number,weight,leaf_area,LMA,,,
PELA,Waratah2011,2.4,2.4,young,4,1,4,0.9286,47.78266,0.019,,,
PELA,Waratah2011,2.4,2.4,mid,4,1,5,0.8799,47.45395,0.019,,,
PELA,Waratah2011,2.4,2.4,old,4,2,8,0.2257,14.51281,0.016,,,
PHPH,Waratah2011,2.4,2.4,young,5,8,40,0.0834,5.3578,0.016,,,
PHPH,Waratah2011,2.4,2.4,mid,4,8,32,0.0695,4.67415,0.015,,,
PILI,Waratah2011,2.4,2.4,young,5,8,40,0.048,4.94087,0.01,,,
PILI,Waratah2011,2.4,2.4,mid,5,8,40,0.059,5.45889,0.011,,,
PUTU,Waratah2011,2.4,2.4,young,4,11,44,0.0917,10.422,0.0088,,,
PUTU,Waratah2011,2.4,2.4,mid,4,11,44,0.149,14.76733,0.0101,,,
PUTU,Waratah2011,2.4,2.4,old,4,8,32,0.1243,11.78751,0.0105,,,
PEPU,Waratah2011,2.4,2.4,young,4,2,8,1.386,58.569,,,,
PEPU,Waratah2011,2.4,2.4,mid,4,2,8,1.1604,37.991,,,,
PEPU,Waratah2011,2.4,2.4,old,4,2,8,0.3561,13.24,,,,
BAER,Basin2007,5,5,young,4,8,32,0.0782,3.82754,0.0204,,,
BAER,Basin2007,5,5,mid,4,8,32,0.0856,4.57943,0.0187,,,
BAER,Basin2007,5,5,old,4,8,32,0.0898,4.23475,0.0212,,,
BOLE,Basin2007,5,5,young,4,5,20,0.1142,6.79349,0.0168,,,
BOLE,Basin2007,5,5,mid,4,5,20,0.228,11.52319,0.0198,,,
COER,Basin2007,5,5,young,4,8,32,0.0558,2.4296,0.023,,,
COER,Basin2007,5,5,mid,4,8,32,0.0618,2.44003,0.0253,,,
COER,Basin2007,5,5,old,4,8,32,0.1014,4.04852,0.025,,,
EPMI,Basin2007,5,5,young,4,8,30,0.0211,2.11282,0.01,,,
EPMI,Basin2007,5,5,mid,4,8,32,0.0319,2.36481,0.0135,,,
EPMI,Basin2007,5,5,old,4,8,32,0.029,2.12251,0.0137,,,
GRBU,Basin2007,5,5,young,4,6,24,0.2014,14.74503,0.014,,,
GRBU,Basin2007,5,5,mid,4,4,16,0.1442,8.56505,0.017,,,
GRBU,Basin2007,5,5,old,4,6,24,0.1908,11.50474,0.017,,,
GRSP,Basin2007,5,5,young,4,6,24,0.2297,13.2327,0.017,,,
GRSP,Basin2007,5,5,mid,4,6,24,0.2321,12.34042,0.019,,,
GRSP,Basin2007,5,5,old,3,6,18,0.1905,10.26222,0.019,,,
