species,replicate,individual,site,age,age_exact,date,start_end,census,interval,year,year_div,status,diameter,length,stem_weight_collected,leaf_weight_collected,notes
GRBU,152,GRBU_152,Waratah2011,2.4,2.4,30-Jul-14,end,30,,2014,2014,shed&collected,check,check,71.5,0,
GRBU,153,GRBU_153,Waratah2011,2.4,2.4,30-Jul-14,end,30,,2014,2014,shed&collected,check,check,61.7,0,
GRSP,156,GRSP_156,Waratah2011,2.4,2.4,31-Jul-14,end,30,,2014,2014,shed&collected,0.94,,80.5,0,
GRSP,156,GRSP_156,Waratah2011,2.4,2.4,31-Jul-14,end,30,,2014,2014,dead-missing,0.9,,,,basal branch;normal turnover
HEPU,155,HEPU_155,Waratah2011,2.4,2.4,31-Jul-14,end,30,,2014,2014,nipped-missing,0.96;.4;.4;.4,20;20;20;8,,,
PEPU,156,PEPU_156,Waratah2011,2.4,2.4,31-Jul-14,end,30,,2014,2014,dead-missing,0.8,8,,,basal branch;normal turnover
PHPH,161,PHPH_161,Waratah2011,2.4,2.4,30-Jul-14,end,30,,2014,2014,dead-missing,0.79,22,,,basal branch;normal turnover
PHPH,163,PHPH_163,Waratah2011,2.4,2.4,30-Jul-14,end,30,,2014,2014,shed&collected,1.14,170,162.3,0,
PHPH,164,PHPH_164,Waratah2011,2.4,2.4,30-Jul-14,end,30,,2014,2014,shed&collected,.73;.85,90;130,112.7,0,
PHPH,165,PHPH_165,Waratah2011,2.4,2.4,30-Jul-14,end,30,,2014,2014,dead-missing,1.17,130,,,basal branch;normal turnover; also lots of newly grown + nipped branches
PHPH,167,PHPH_167,Waratah2011,2.4,2.4,30-Jul-14,end,30,,2014,2014,shed&collected,check,check,37.3,0,
PHPH,167,PHPH_167,Waratah2011,2.4,2.4,30-Jul-14,end,30,,2014,2014,dead-missing,1,53,,,basal branch;normal turnover
PILI,151,PILI_151,Waratah2011,2.4,2.4,30-Jul-14,end,30,,2014,2014,nipped-missing,0.79,69,,,
