species,replicate,individual,site,age,date_tagged,mature,use_for_allocation_calculations,use_for_allometric_equations,reason
EPMI,6,EPMI_006,Basin2005,7,24-May-12,,TRUE,TRUE,
EPMI,7,EPMI_007,Basin2005,7,24-May-12,,TRUE,TRUE,
EPMI,101,EPMI_101,Waratah2011,1.4,15-Jun-12,,TRUE,TRUE,
EPMI,102,EPMI_102,Waratah2011,1.4,15-Jun-12,,TRUE,TRUE,
EPMI,104,EPMI_104,Waratah2011,1.4,15-Jun-12,,TRUE,TRUE,
EPMI,105,EPMI_105,Waratah2011,1.4,15-Jun-12,,TRUE,TRUE,
EPMI,106,EPMI_106,Waratah2011,1.4,15-Jun-12,,TRUE,TRUE,
EPMI,108,EPMI_108,Waratah2011,1.4,29-Jun-12,,TRUE,TRUE,
EPMI,109,EPMI_109,Waratah2011,1.4,2-Nov-12,,TRUE,TRUE,
EPMI,111,EPMI_111,Waratah2011,1.4,3-May-12,,FALSE,FALSE,
EPMI,112,EPMI_112,Waratah2011,1.4,3-May-12,,FALSE,FALSE,
EPMI,113,EPMI_113,Waratah2011,1.4,4-May-12,,FALSE,FALSE,
EPMI,116,EPMI_116,Waratah2011,1.4,9-Aug-12,,FALSE,FALSE,
EPMI,401,EPMI_401,Basin2007,5,1-Jun-12,,TRUE,TRUE,
EPMI,402,EPMI_402,Basin2007,5,1-Jun-12,,TRUE,TRUE,
EPMI,403,EPMI_403,Basin2007,5,1-Jun-12,,TRUE,TRUE,
EPMI,404,EPMI_404,Basin2007,5,1-Jun-12,,TRUE,TRUE,
EPMI,405,EPMI_405,Basin2007,5,1-Jun-12,,TRUE,TRUE,
EPMI,406,EPMI_406,Basin2007,5,1-Jun-12,,TRUE,TRUE,
EPMI,407,EPMI_407,Basin2007,5,1-Jun-12,,TRUE,TRUE,
EPMI,801,EPMI_801,Waratah2003,9,18-May-12,,TRUE,TRUE,
EPMI,802,EPMI_802,Waratah2003,9,18-May-12,,TRUE,TRUE,
EPMI,803,EPMI_803,Waratah2003,9,18-May-12,,TRUE,TRUE,
EPMI,804,EPMI_804,Waratah2003,9,18-May-12,,TRUE,TRUE,
EPMI,805,EPMI_805,Waratah2003,9,18-May-12,,TRUE,TRUE,
EPMI,806,EPMI_806,Waratah2003,9,18-May-12,,TRUE,TRUE,
EPMI,807,EPMI_807,Waratah2003,9,18-May-12,,TRUE,TRUE,
EPMI,808,EPMI_808,Waratah2003,9,28-Jun-12,,TRUE,TRUE,
EPMI,901,EPMI_901,Basin1981,32,31-May-12,,TRUE,TRUE,
EPMI,902,EPMI_902,Basin1981,32,7-Jun-12,,TRUE,TRUE,
EPMI,903,EPMI_903,Basin1981,32,7-Jun-12,,TRUE,TRUE,
EPMI,904,EPMI_904,Basin1981,32,7-Jun-12,,TRUE,TRUE,
EPMI,905,EPMI_905,Basin1981,32,8-Jun-12,,TRUE,TRUE,
EPMI,906,EPMI_906,Basin1981,32,8-Jun-12,,TRUE,TRUE,
EPMI,907,EPMI_907,Basin1981,32,8-Jun-12,,TRUE,TRUE,
GRBU,2,GRBU_002,Basin2005,7,16-Mar-12,,TRUE,TRUE,
GRBU,3,GRBU_003,Basin2005,7,22-Mar-12,,TRUE,TRUE,
GRBU,5,GRBU_005,Basin2005,7,22-May-12,,FALSE,FALSE,
GRBU,6,GRBU_006,Basin2005,7,23-Mar-12,,FALSE,FALSE,
GRBU,7,GRBU_007,Basin2005,7,23-Mar-12,,TRUE,TRUE,
GRBU,8,GRBU_008,Basin2005,7,23-Mar-12,,TRUE,TRUE,
GRBU,9,GRBU_009,Basin2005,7,23-Mar-12,,TRUE,TRUE,
GRBU,402,GRBU_402,Basin2007,5,27-Apr-12,,TRUE,TRUE,
GRBU,403,GRBU_403,Basin2007,5,27-Apr-12,,TRUE,TRUE,
GRBU,404,GRBU_404,Basin2007,5,27-Apr-12,,TRUE,TRUE,
GRBU,405,GRBU_405,Basin2007,5,27-Apr-12,,TRUE,TRUE,
GRBU,406,GRBU_406,Basin2007,5,27-Apr-12,,TRUE,TRUE,
GRBU,407,GRBU_407,Basin2007,5,1-May-12,,TRUE,TRUE,
GRBU,408,GRBU_408,Basin2007,5,1-May-12,,TRUE,TRUE,
GRBU,801,GRBU_801,Waratah2003,9,15-May-12,,TRUE,TRUE,
GRBU,802,GRBU_802,Waratah2003,9,15-May-12,,TRUE,TRUE,
GRBU,803,GRBU_803,Waratah2003,9,15-May-12,,TRUE,TRUE,
GRBU,804,GRBU_804,Waratah2003,9,15-May-12,,TRUE,TRUE,
GRBU,805,GRBU_805,Waratah2003,9,15-May-12,,TRUE,TRUE,
GRBU,806,GRBU_806,Waratah2003,9,15-May-12,,TRUE,TRUE,
GRBU,807,GRBU_807,Waratah2003,9,15-May-12,,TRUE,TRUE,
GRBU,901,GRBU_901,Basin1981,32,31-May-12,,FALSE,FALSE,
GRBU,902,GRBU_902,Basin1981,32,31-May-12,,FALSE,FALSE,
GRBU,903,GRBU_903,Basin1981,32,7-Jun-12,,TRUE,TRUE,
GRBU,904,GRBU_904,Basin1981,32,7-Jun-12,,TRUE,TRUE,
GRBU,905,GRBU_905,Basin1981,32,8-Jun-12,,TRUE,TRUE,
GRBU,906,GRBU_906,Basin1981,32,8-Jun-12,,TRUE,TRUE,
GRBU,907,GRBU_907,Basin1981,32,8-Jun-12,,TRUE,TRUE,
GRSP,2,GRSP_002,Basin2005,7,16-Mar-12,,TRUE,TRUE,
GRSP,3,GRSP_003,Basin2005,7,16-Mar-12,,TRUE,TRUE,
GRSP,4,GRSP_004,Basin2005,7,16-Mar-12,,FALSE,FALSE,
GRSP,5,GRSP_005,Basin2005,7,1-May-12,,TRUE,TRUE,
GRSP,6,GRSP_006,Basin2005,7,1-May-12,,TRUE,TRUE,
GRSP,7,GRSP_007,Basin2005,7,1-May-12,,TRUE,TRUE,
GRSP,9,GRSP_009,Basin2005,7,28-Jun-12,,TRUE,TRUE,
GRSP,101,GRSP_101,Waratah2011,1.4,3-May-12,,TRUE,TRUE,
GRSP,102,GRSP_102,Waratah2011,1.4,3-May-12,,TRUE,TRUE,
GRSP,103,GRSP_103,Waratah2011,1.4,3-May-12,,TRUE,TRUE,
GRSP,104,GRSP_104,Waratah2011,1.4,3-May-12,,TRUE,TRUE,
GRSP,105,GRSP_105,Waratah2011,1.4,4-May-12,,TRUE,TRUE,
GRSP,106,GRSP_106,Waratah2011,1.4,4-May-12,,TRUE,TRUE,
GRSP,107,GRSP_107,Waratah2011,1.4,4-May-12,,TRUE,TRUE,
GRSP,110,GRSP_110,Waratah2011,1.4,18-May-12,,TRUE,TRUE,
GRSP,111,GRSP_111,Waratah2011,1.4,29-Jun-12,,TRUE,TRUE,
GRSP,112,GRSP_112,Waratah2011,1.4,29-Jun-12,,TRUE,TRUE,
GRSP,114,GRSP_114,Waratah2011,1.4,29-Jun-12,,TRUE,TRUE,
GRSP,116,GRSP_116,Waratah2011,1.4,29-Jun-12,,TRUE,TRUE,
GRSP,401,GRSP_401,Basin2007,5,20-Apr-12,,TRUE,TRUE,
GRSP,402,GRSP_402,Basin2007,5,20-Apr-12,,TRUE,TRUE,
GRSP,403,GRSP_403,Basin2007,5,20-Apr-12,,TRUE,TRUE,
GRSP,404,GRSP_404,Basin2007,5,20-Apr-12,,TRUE,TRUE,
GRSP,405,GRSP_405,Basin2007,5,26-Apr-12,,TRUE,TRUE,
GRSP,406,GRSP_406,Basin2007,5,26-Apr-12,,TRUE,TRUE,
GRSP,407,GRSP_407,Basin2007,5,26-Apr-12,,TRUE,TRUE,
GRSP,408,GRSP_408,Basin2007,5,20-Apr-12,,TRUE,TRUE,
GRSP,801,GRSP_801,Waratah2003,9,11-May-12,,TRUE,TRUE,
GRSP,802,GRSP_802,Waratah2003,9,11-May-12,,TRUE,TRUE,
GRSP,803,GRSP_803,Waratah2003,9,11-May-12,,TRUE,TRUE,
GRSP,804,GRSP_804,Waratah2003,9,17-May-12,,TRUE,TRUE,
GRSP,805,GRSP_805,Waratah2003,9,17-May-12,,TRUE,TRUE,
GRSP,806,GRSP_806,Waratah2003,9,17-May-12,,TRUE,TRUE,
GRSP,807,GRSP_807,Waratah2003,9,17-May-12,,TRUE,TRUE,
GRSP,901,GRSP_901,Basin1981,32,31-May-12,,FALSE,FALSE,
GRSP,902,GRSP_902,Basin1981,32,31-May-12,,FALSE,FALSE,
GRSP,903,GRSP_903,Basin1981,32,31-May-12,,TRUE,TRUE,
GRSP,904,GRSP_904,Basin1981,32,7-Jun-12,,FALSE,FALSE,
GRSP,905,GRSP_905,Basin1981,32,8-Jun-12,,TRUE,TRUE,
GRSP,907,GRSP_907,Basin1981,32,8-Jun-12,,TRUE,TRUE,
HATE,1,HATE_001,Basin2005,7,15-Mar-12,,TRUE,TRUE,
HATE,2,HATE_002,Basin2005,7,3-May-12,,TRUE,TRUE,
HATE,3,HATE_003,Basin2005,7,3-May-12,,TRUE,TRUE,
HATE,4,HATE_004,Basin2005,7,3-May-12,,TRUE,TRUE,
HATE,5,HATE_005,Basin2005,7,3-May-12,,TRUE,TRUE,
HATE,6,HATE_006,Basin2005,7,3-May-12,,TRUE,TRUE,
HATE,7,HATE_007,Basin2005,7,3-May-12,,TRUE,TRUE,
HATE,102,HATE_102,Waratah2011,1.4,4-May-12,,FALSE,FALSE,
HATE,103,HATE_103,Waratah2011,1.4,4-May-12,,TRUE,TRUE,
HATE,104,HATE_104,Waratah2011,1.4,4-May-12,,TRUE,TRUE,
HATE,105,HATE_105,Waratah2011,1.4,4-May-12,,TRUE,TRUE,
HATE,106,HATE_106,Waratah2011,1.4,4-May-12,,TRUE,TRUE,
HATE,107,HATE_107,Waratah2011,1.4,4-May-12,,TRUE,TRUE,
HATE,108,HATE_108,Waratah2011,1.4,4-May-12,,TRUE,TRUE,
HATE,401,HATE_401,Basin2007,5,20-Apr-12,,TRUE,TRUE,
HATE,402,HATE_402,Basin2007,5,20-Apr-12,,TRUE,TRUE,
HATE,403,HATE_403,Basin2007,5,20-Apr-12,,TRUE,TRUE,
HATE,404,HATE_404,Basin2007,5,20-Apr-12,,TRUE,TRUE,
HATE,405,HATE_405,Basin2007,5,26-Apr-12,,TRUE,TRUE,
HATE,406,HATE_406,Basin2007,5,26-Apr-12,,TRUE,TRUE,
HATE,407,HATE_407,Basin2007,5,26-Apr-12,,TRUE,TRUE,
HATE,801,HATE_801,Waratah2003,9,17-May-12,,TRUE,TRUE,
HATE,802,HATE_802,Waratah2003,9,17-May-12,,TRUE,TRUE,
HATE,803,HATE_803,Waratah2003,9,17-May-12,,TRUE,TRUE,
HATE,804,HATE_804,Waratah2003,9,17-May-12,,TRUE,TRUE,
HATE,805,HATE_805,Waratah2003,9,17-May-12,,TRUE,TRUE,
HATE,806,HATE_806,Waratah2003,9,17-May-12,,TRUE,TRUE,
HATE,807,HATE_807,Waratah2003,9,17-May-12,,TRUE,TRUE,
HATE,901,HATE_901,Basin1981,32,14-Jun-12,,TRUE,TRUE,
HATE,902,HATE_902,Basin1981,32,14-Jun-12,,TRUE,TRUE,
HATE,903,HATE_903,Basin1981,32,14-Jun-12,,TRUE,TRUE,
HATE,904,HATE_904,Basin1981,32,14-Jun-12,,TRUE,TRUE,
HATE,905,HATE_905,Basin1981,32,14-Jun-12,,TRUE,TRUE,
HATE,906,HATE_906,Basin1981,32,14-Jun-12,,TRUE,TRUE,
HATE,907,HATE_907,Basin1981,32,14-Jun-12,,TRUE,TRUE,
HEPU,1,HEPU_001,Basin2005,7,15-Mar-12,,TRUE,TRUE,
HEPU,2,HEPU_002,Basin2005,7,15-Mar-12,,TRUE,TRUE,
HEPU,3,HEPU_003,Basin2005,7,15-Mar-12,,FALSE,FALSE,
HEPU,4,HEPU_004,Basin2005,7,16-Mar-12,,TRUE,TRUE,
HEPU,5,HEPU_005,Basin2005,7,16-Mar-12,,FALSE,FALSE,
HEPU,6,HEPU_006,Basin2005,7,1-May-12,,TRUE,TRUE,
HEPU,7,HEPU_007,Basin2005,7,1-May-12,,TRUE,TRUE,
HEPU,9,HEPU_009,Basin2005,7,29-Jun-12,,TRUE,TRUE,
HEPU,106,HEPU_106,Waratah2011,1.4,4-May-12,,TRUE,TRUE,
HEPU,107,HEPU_107,Waratah2011,1.4,4-May-12,,TRUE,TRUE,
HEPU,108,HEPU_108,Waratah2011,1.4,15-Jun-12,,TRUE,TRUE,
HEPU,109,HEPU_109,Waratah2011,1.4,15-Jun-12,,TRUE,TRUE,
HEPU,110,HEPU_110,Waratah2011,1.4,15-Jun-12,,TRUE,TRUE,
HEPU,111,HEPU_111,Waratah2011,1.4,15-Jun-12,,TRUE,TRUE,
HEPU,112,HEPU_112,Waratah2011,1.4,15-Jun-12,,TRUE,TRUE,
HEPU,113,HEPU_113,Waratah2011,1.4,2-Nov-12,,TRUE,TRUE,
HEPU,402,HEPU_402,Basin2007,5,20-Apr-12,,TRUE,TRUE,
HEPU,403,HEPU_403,Basin2007,5,20-Apr-12,,TRUE,TRUE,
HEPU,404,HEPU_404,Basin2007,5,26-Apr-12,,TRUE,TRUE,
HEPU,405,HEPU_405,Basin2007,5,26-Apr-12,,TRUE,TRUE,
HEPU,406,HEPU_406,Basin2007,5,26-Apr-12,,TRUE,TRUE,
HEPU,407,HEPU_407,Basin2007,5,27-Apr-12,,TRUE,TRUE,
HEPU,408,HEPU_408,Basin2007,5,1-Jun-12,,TRUE,TRUE,
HEPU,801,HEPU_801,Waratah2003,9,11-May-12,,TRUE,TRUE,
HEPU,802,HEPU_802,Waratah2003,9,11-May-12,,TRUE,TRUE,
HEPU,803,HEPU_803,Waratah2003,9,11-May-12,,TRUE,TRUE,
HEPU,804,HEPU_804,Waratah2003,9,11-May-12,,TRUE,TRUE,
HEPU,805,HEPU_805,Waratah2003,9,15-May-12,,TRUE,TRUE,
HEPU,806,HEPU_806,Waratah2003,9,15-May-12,,TRUE,TRUE,
HEPU,807,HEPU_807,Waratah2003,9,17-May-12,,TRUE,TRUE,
HEPU,901,HEPU_901,Basin1981,32,31-May-12,,FALSE,FALSE,
HEPU,902,HEPU_902,Basin1981,32,31-May-12,,FALSE,FALSE,
HEPU,903,HEPU_903,Basin1981,32,7-Jun-12,,FALSE,FALSE,
HEPU,904,HEPU_904,Basin1981,32,7-Jun-12,,FALSE,FALSE,
HEPU,905,HEPU_905,Basin1981,32,7-Jun-12,,FALSE,FALSE,
HEPU,906,HEPU_906,Basin1981,32,8-Jun-12,,FALSE,FALSE,
HEPU,907,HEPU_907,Basin1981,32,8-Jun-12,,FALSE,FALSE,
LEES,1,LEES_001,Basin2005,7,16-Mar-12,,TRUE,TRUE,
LEES,2,LEES_002,Basin2005,7,22-Mar-12,,TRUE,TRUE,
LEES,3,LEES_003,Basin2005,7,22-Mar-12,,TRUE,TRUE,
LEES,4,LEES_004,Basin2005,7,22-Mar-12,,TRUE,TRUE,
LEES,5,LEES_005,Basin2005,7,22-Mar-12,,TRUE,TRUE,
LEES,6,LEES_006,Basin2005,7,23-Mar-12,,TRUE,TRUE,
LEES,7,LEES_007,Basin2005,7,23-Mar-12,,TRUE,TRUE,
LEES,102,LEES_102,Waratah2011,1.4,3-May-12,,TRUE,TRUE,
LEES,110,LEES_110,Waratah2011,1.4,15-Jun-12,,TRUE,TRUE,
LEES,114,LEES_114,Waratah2011,1.4,9-Aug-12,,TRUE,TRUE,
LEES,401,LEES_401,Basin2007,5,20-Apr-12,,TRUE,TRUE,
LEES,402,LEES_402,Basin2007,5,20-Apr-12,,TRUE,TRUE,
LEES,403,LEES_403,Basin2007,5,20-Apr-12,,TRUE,TRUE,
LEES,404,LEES_404,Basin2007,5,26-Apr-12,,TRUE,TRUE,
LEES,405,LEES_405,Basin2007,5,27-Apr-12,,TRUE,TRUE,
LEES,406,LEES_406,Basin2007,5,27-Apr-12,,TRUE,TRUE,
LEES,407,LEES_407,Basin2007,5,27-Apr-12,,TRUE,TRUE,
LEES,801,LEES_801,Waratah2003,9,11-May-12,,TRUE,TRUE,
LEES,802,LEES_802,Waratah2003,9,11-May-12,,TRUE,TRUE,
LEES,803,LEES_803,Waratah2003,9,11-May-12,,TRUE,TRUE,
LEES,804,LEES_804,Waratah2003,9,15-May-12,,TRUE,TRUE,
LEES,805,LEES_805,Waratah2003,9,18-May-12,,TRUE,TRUE,
LEES,806,LEES_806,Waratah2003,9,18-May-12,,TRUE,TRUE,
LEES,807,LEES_807,Waratah2003,9,18-May-12,,TRUE,TRUE,
LEES,901,LEES_901,Basin1981,32,31-May-12,,TRUE,TRUE,
LEES,902,LEES_902,Basin1981,32,31-May-12,,TRUE,TRUE,
LEES,903,LEES_903,Basin1981,32,31-May-12,,TRUE,TRUE,
LEES,904,LEES_904,Basin1981,32,31-May-12,,TRUE,TRUE,
LEES,905,LEES_905,Basin1981,32,31-May-12,,TRUE,TRUE,
LEES,906,LEES_906,Basin1981,32,7-Jun-12,,FALSE,FALSE,
LEES,907,LEES_907,Basin1981,32,8-Jun-12,,TRUE,TRUE,
PELA,1,PELA_001,Basin2005,7,15-Mar-12,,TRUE,TRUE,
PELA,2,PELA_002,Basin2005,7,15-Mar-12,,TRUE,TRUE,
PELA,3,PELA_003,Basin2005,7,15-Mar-12,,TRUE,TRUE,
PELA,4,PELA_004,Basin2005,7,22-Mar-12,,TRUE,TRUE,
PELA,5,PELA_005,Basin2005,7,22-Mar-12,,TRUE,TRUE,
PELA,6,PELA_006,Basin2005,7,23-Mar-12,,TRUE,TRUE,
PELA,7,PELA_007,Basin2005,7,23-Mar-12,,TRUE,TRUE,
PELA,103,PELA_103,Waratah2011,1.4,4-May-12,,TRUE,TRUE,
PELA,104,PELA_104,Waratah2011,1.4,4-May-12,,TRUE,TRUE,
PELA,108,PELA_108,Waratah2011,1.4,4-May-12,,TRUE,TRUE,
PELA,113,PELA_113,Waratah2011,1.4,15-Jun-12,,TRUE,TRUE,
PELA,118,PELA_118,Waratah2011,1.4,30-Aug-12,,TRUE,TRUE,
PELA,120,PELA_120,Waratah2011,1.4,2-Nov-12,,TRUE,TRUE,
PELA,122,PELA_122,Waratah2011,1.4,2-Nov-12,,TRUE,TRUE,
PELA,401,PELA_401,Basin2007,5,20-Apr-12,,TRUE,TRUE,
PELA,402,PELA_402,Basin2007,5,26-Apr-12,,TRUE,TRUE,
PELA,403,PELA_403,Basin2007,5,26-Apr-12,,TRUE,TRUE,
PELA,404,PELA_404,Basin2007,5,26-Apr-12,,TRUE,TRUE,
PELA,405,PELA_405,Basin2007,5,26-Apr-12,,TRUE,TRUE,
PELA,406,PELA_406,Basin2007,5,26-Apr-12,,TRUE,TRUE,
PELA,407,PELA_407,Basin2007,5,27-Apr-12,,TRUE,TRUE,
PELA,801,PELA_801,Waratah2003,9,11-May-12,,TRUE,TRUE,
PELA,802,PELA_802,Waratah2003,9,11-May-12,,TRUE,TRUE,
PELA,803,PELA_803,Waratah2003,9,11-May-12,,TRUE,TRUE,
PELA,804,PELA_804,Waratah2003,9,15-May-12,,TRUE,TRUE,
