flower_part,sort,BAER,BOLE,COER,EPMI,GRBU,GRSP,HATE,HEPU,LEES,PELA,PEPU,PHPH,PILI,PUTU
fruit_aborted,40,,,,,,,shriveled fruit that is shedding early,"aborted fruit, including calyx; based on weight, this has aborted quite early","brown, round, dry fruit, but much small than ""mature fruit""; calyx separate",,very small fruit; don't contain a seed and the seed pod is quite small; determination based on weight,aborted or wormy fruit,empty seed pod or seed pod with aborting fruit,"aborted, small, usually flattened fruit"
fruit_empty,41,,,,,,,,,,,"full sized fruit, but much lighter weight, because no seed (or a very small seed) inside; determined based on weight",,,
fruit_mature,42,,,bright orange fruit; bract a separate part,"mature fruit, including calyx and pedicel (because they are fused to the fruit and therefore part of the dispersal unit)",,,,"mature, dry fruit; set of 4 from a single flower counted as ""1""","brown, round, plump, dry fruit; calyx separate; seed fused to fruit, so this is the dispersal unit",,"dry, full fruit; considered ""viable"" (vesus aborted or empty) based on weight; for tagged plants, actual fruit removed from cone; seed fused to fruit, so this is the dispersal unit",,,
seed_pod,43,"mature seed pod, including papery layer between seeds; removed from cone",seed pod once fruit is large and black,,,seed pod once seed is mature; varies considerably by length; does not include pedicel,seed pod once seed is mature; varies considerably by length; does not include pedicel,hardened seed pods with mature or immature seeds removed,,,combination of various outer fruit layers (fleshy and woody) removed from mature seed,,seed pod from around seed or aborted seed,black seed pod from around seed or aborted seed,seed pod from around seed or aborted seed
seed_immature,44,,,,,,,"immature seed; already large, but not yet full weight or hardened",,,,,,,
seed_aborted,45,"aborted, flat seeds; for tagged plants, removed and weighed actual seeds from cones",,,,seeds that are quite flat and much lighter than others of similar length,seeds that are quite flat and much lighter than others of similar length,"aborted seeds removed from pods; considered ""aborted"" by weight",,,,,"flat, lightweight seed; seeds determined ""aborted"" either visually or by weight",,"flat, lightweight seed; seeds determined ""aborted"" either visually or by weight"
seed,46,"fully mature seeds; for tagged plants, removed and weighed actual seeds from cones","smooth, glossy black seed",,,mature seeds weighed from pod; all mature seeds similar weight regardless of pod length,mature seeds weighed from pod; all mature seeds similar weight regardless of pod length,"mature seeds removed from pods; considered ""viable"" based on weight",,,"seed with fleshy and woody layers removed; since seed size variable with fruit size, use regression equation to calculate seed weight",,"round, healthy seed; seeds determined ""viable"" by weight","round, healthy, white-colored seed","round, healthy seed; seeds determined ""viable"" by weight"
cone_just_starting_01,47,,,,,,,,,,,"very young cone; just a mound of ""cone"" starting to form",,,
cone_just_starting_02,48,,,,,,,,,,,"very young cone; just a mound of ""cone"" starting to form",,,
cone_young_01,49,"young cone that is still quite skinny and mostly lengthening, although some increase in width as well; base included in length at this stage",,,,,,,,,,young cone that is in the process of lengthening; can stay at this stage through several size transitions,,,
cone_young_02,50,"young cone that is still quite skinny and mostly lengthening, although some increase in width as well; base included in length at this stage",,,,,,,,,,young cone that is in the process of lengthening; can stay at this stage through several size transitions,,,
cone_young_03,51,"young cone that is still quite skinny and mostly lengthening, although some increase in width as well; base included in length at this stage",,,,,,,,,,young cone that is in the process of lengthening; can stay at this stage through several size transitions,,,
cone_young_04,52,"young cone that is still quite skinny and mostly lengthening, although some increase in width as well; base included in length at this stage",,,,,,,,,,young cone that is in the process of lengthening; can stay at this stage through several size transitions,,,
cone_green_01,53,"young cone that is no beginning to widen, as well as lengthen; usually at ""tiny_bud"" stage, but on some robust plants, reach this stage before buds begin expanding; can stay at this stage through several size transitions; base weighed separately at this stage",,,,,,,,,,green cone with large buds or in flower; can stay at this stage through several size transitions,,,
cone_green_02,54,"young cone that is no beginning to widen, as well as lengthen; usually at ""tiny_bud"" stage, but on some robust plants, reach this stage before buds begin expanding; can stay at this stage through several size transitions; base weighed separately at this stage",,,,,,,,,,green cone with large buds or in flower; can stay at this stage through several size transitions,,,
cone_green_03,55,"young cone that is no beginning to widen, as well as lengthen; usually at ""tiny_bud"" stage, but on some robust plants, reach this stage before buds begin expanding; can stay at this stage through several size transitions; base weighed separately at this stage",,,,,,,,,,green cone with large buds or in flower; can stay at this stage through several size transitions,,,
cone_green_04,56,"young cone that is no beginning to widen, as well as lengthen; usually at ""tiny_bud"" stage, but on some robust plants, reach this stage before buds begin expanding; can stay at this stage through several size transitions; base weighed separately at this stage",,,,,,,,,,green cone with large buds or in flower; can stay at this stage through several size transitions,,,
cone_brown_no_expanded_follicles,57,"mature, dry cone where no follicles matured; quite skinny and floppy compared to ""cone_brown""",,,,,,,,,,,,,
cone_brown,58,"mature, dry cone containing at least some mature follicles",,,,,,,,,,"mature, dry cone containing at least come ""mature"" fruit, although all the fruit might be empty or aborted",,,
cone_aborted,59,"cone that has aborted long before flowering; usually transitions to this from a small-sized ""cone_green""",,,,,,,,,,cone that has aborted either before flowering or at the start of flowering,,,
cone_base_green_01,60,base of a growing cone; woody section that elevates cone above branch and has no flowers,,,,,,,,,,,,,
cone_base_green_02,61,base of a growing cone; woody section that elevates cone above branch and has no flowers,,,,,,,,,,,,,
cone_base_green_03,62,base of a growing cone; woody section that elevates cone above branch and has no flowers,,,,,,,,,,,,,
cone_base_green_04,63,base of a growing cone; woody section that elevates cone above branch and has no flowers,,,,,,,,,,,,,
cone_base_brown,64,base of a mature cone; woody section that elevates cone above branch and has no flowers,,,,,,,,,,,,,
