flower_part,sort,BAER,BOLE,COER,EPMI,GRBU,GRSP,HATE,HEPU,LEES,PELA,PEPU,PHPH,PILI,PUTU
inflorescence_stalk,1,,,prepollination_success,,prepollination_success,prepollination_success,,,,,,,packaging_dispersal,
inflorescence_bud_tiny,2,,,prepollination_abort,,,,prepollination_abort,,,,,,,
inflorescence_bud_small,3,,,,,prepollination_abort,prepollination_abort,prepollination_abort,,,,,,,
inflorescence_bud_mid,4,,,prepollination_abort,,,,prepollination_abort,,,,,,prepollination_abort,
inflorescence_bud_big_bracts,5,,,,,,,prepollination_abort,,,,,,,
inflorescence_bud_big_flowers,6,,,,,,,prepollination_abort,,,,,,,
inflorescence_stalk_in_fruit,24,,,packaging_dispersal,,,packaging_dispersal,,,,,,,,
inflorescence_stalk_in_fruit_large,25,,,packaging_dispersal,,,,,,,,,,,
inflorescence_stalk_in_fruit_very_large,26,,,packaging_dispersal,,,,,,,,,,,
bud_aborted,7,,,,,,,,,prepollination_abort,,prepollination_abort,,,
bud_tiny,8,prepollination_abort,prepollination_abort,,prepollination_abort,prepollination_abort,prepollination_abort,,,prepollination_abort,,prepollination_abort,,,
bud_small,9,prepollination_abort,prepollination_abort,,,prepollination_abort,prepollination_abort,,prepollination_abort,,prepollination_abort,,prepollination_abort,,
bud_mid,10,prepollination_abort,prepollination_abort,,prepollination_abort,prepollination_abort,prepollination_abort,,,prepollination_abort,prepollination_abort,,prepollination_abort,,
bud_big,11,prepollination_abort,prepollination_abort,prepollination_abort,prepollination_abort,prepollination_abort,prepollination_abort,,prepollination_abort,prepollination_abort,prepollination_abort,prepollination_abort,,prepollination_abort,prepollination_abort
bud_just_opening,12,prepollination_abort,,,,,prepollination_abort,,,,,,,,
flower_petals,13,prepollination_success,prepollination_success,prepollination_success,prepollination_success,prepollination_success,prepollination_success,prepollination_success,prepollination_success,prepollination_success,prepollination_success,prepollination_success,prepollination_success,prepollination_success,prepollination_success
flower_petals_small,14,,,,,,,,,,,,prepollination_success,,
flower_stigma,15,prepollination_success,,prepollination_success,,prepollination_success,prepollination_success,prepollination_success,,,prepollination_success,prepollination_success,prepollination_success,prepollination_success,prepollination_success
flower_calyx,16,,prepollination_success,,prepollination_success,,,,prepollination_success,prepollination_success,,prepollination_success,prepollination_success,prepollination_success,prepollination_success
flower_calyx_aborting,16.1,,,,,,,,prepollination_success,,,,,,
flower_aborted,17,,,,,,,,,,,,prepollination_abort,,prepollination_abort
flower_aborted_without_petals,18,,,,,,,,,,,,prepollination_abort,,
flower_style,19,prepollination_success,,,,,,,,,,,,,
finished_flower,20,,prepollination_success,prepollination_success,prepollination_success,,,,prepollination_success,prepollination_success,,,prepollination_success,,
finished_flower_aborting,20.1,,,,,,,,prepollination_success,,,,,,
finished_flower_stigma,21,prepollination_success,prepollination_success,,,prepollination_success,prepollination_success,prepollination_success,,,prepollination_success,,prepollination_success,,
late_finished_flower,22,,prepollination_success,,,,,,,,,,prepollination_success,,
late_flower_petals,22.5,,packaging_dispersal,,,,,,,,,,,,
bract_flower_or_finished_flower,23,,,,,,,,,,,,prepollination_success,prepollination_success,prepollination_success
bract_fruit,39,,,packaging_dispersal,,,,,,,,,,,prepollination_success
calyx_fruit,38,,,,,,,,packaging_dispersal,prepollination_success,,,,,
pedicel,40,,packaging_dispersal,,,packaging_dispersal,packaging_dispersal,,,,packaging_dispersal,,,,
fruit_just_starting,27,postpollination_abort,postpollination_abort,postpollination_abort,,postpollination_abort,postpollination_abort,postpollination_abort,,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,,
fruit_young,28,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,
fruit_young_aborting,28.5,,,,,,,,postpollination_abort,,,,,,
fruit_large_immature_01,29,,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort
fruit_large_immature_02,30,,,,,postpollination_abort,postpollination_abort,,,,postpollination_abort,,,,
fruit_large_immature_03,31,,,,,postpollination_abort,postpollination_abort,,,,postpollination_abort,,,,
fruit_large_immature_04,32,,,,,postpollination_abort,postpollination_abort,,,,postpollination_abort,,,,
fruit_large_immature_05,33,,,,,postpollination_abort,postpollination_abort,,,,postpollination_abort,,,,
fruit_large_immature_06,34,,,,,postpollination_abort,postpollination_abort,,,,postpollination_abort,,,,
fruit_large_immature_aborting,34.5,,,,,,,,postpollination_abort,,,,,,
