flower_part,sort,BAER,BOLE,COER,EPMI,GRBU,GRSP,HATE,HEPU,LEES,PELA,PEPU,PHPH,PILI,PUTU
fruit_aborted,35,,,,,,,postpollination_abort,postpollination_abort,postpollination_abort,,postpollination_abort,postpollination_abort,postpollination_abort,postpollination_abort
fruit_empty,36,,,,,,,,,,,postpollination_abort,,,
fruit_mature,37,,,propagule,propagule,,,,propagule,propagule,,propagule,,,
seed_pod,41,packaging_dispersal,packaging_dispersal,,,packaging_dispersal,packaging_dispersal,packaging_dispersal,,,packaging_dispersal,,packaging_dispersal,packaging_dispersal,packaging_dispersal
seed_immature,42,,,,,,,propagule,,,,,,,
seed_aborted,43,postpollination_abort,postpollination_abort,,,postpollination_abort,postpollination_abort,postpollination_abort,,,,,postpollination_abort,,postpollination_abort
seed,44,propagule,propagule,,,propagule,propagule,propagule,,,propagule,,propagule,propagule,propagule
cone_just_starting_01,45,,,,,,,,,,,packaging_dispersal,,,
cone_just_starting_02,46,,,,,,,,,,,packaging_dispersal,,,
cone_young_01,47,packaging_dispersal,,,,,,,,,,packaging_dispersal,,,
cone_young_02,48,packaging_dispersal,,,,,,,,,,packaging_dispersal,,,
cone_young_03,49,packaging_dispersal,,,,,,,,,,packaging_dispersal,,,
cone_young_04,50,packaging_dispersal,,,,,,,,,,packaging_dispersal,,,
cone_green_01,51,packaging_dispersal,,,,,,,,,,packaging_dispersal,,,
cone_green_02,52,packaging_dispersal,,,,,,,,,,packaging_dispersal,,,
cone_green_03,53,packaging_dispersal,,,,,,,,,,packaging_dispersal,,,
cone_green_04,54,packaging_dispersal,,,,,,,,,,packaging_dispersal,,,
cone_brown_no_expanded_follicles,55,packaging_dispersal,,,,,,,,,,,,,
cone_brown,56,packaging_dispersal,,,,,,,,,,packaging_dispersal,,,
cone_aborted,57,prepollination_abort,,,,,,,,,,prepollination_abort,,,
cone_base_green_01,58,packaging_dispersal,,,,,,,,,,,,,
cone_base_green_02,59,packaging_dispersal,,,,,,,,,,,,,
cone_base_green_03,60,packaging_dispersal,,,,,,,,,,,,,
cone_base_green_04,61,packaging_dispersal,,,,,,,,,,,,,
cone_base_brown,62,packaging_dispersal,,,,,,,,,,,,,
