species,sort,part,accessory_part,parts_fewer,parts_fewer_yet
PELA,32,fruit_large_immature_04,postpollination_abort,fruit_immature,fruit_seed_immature
PELA,33,fruit_large_immature_05,postpollination_abort,fruit_immature,fruit_seed_immature
PELA,34,fruit_large_immature_06,postpollination_abort,fruit_immature,fruit_seed_immature
PELA,28,fruit_young,postpollination_abort,fruit_immature,fruit_seed_immature
PELA,40,pedicel,packaging_dispersal,pedicel,bud
PELA,44,seed,propagule,seed,seed
PELA,41,seed_pod,packaging_dispersal,seed_pod,seed_pod
PEPU,7,bud_aborted,prepollination_abort,bud,petals
PEPU,11,bud_big,prepollination_abort,bud,petals
PEPU,8,bud_tiny,prepollination_abort,bud,petals
PEPU,57,cone_aborted,prepollination_abort,cone_aborted,cone
PEPU,56,cone_brown,packaging_dispersal,cone_brown,cone
PEPU,51,cone_green_01,packaging_dispersal,cone_green,cone
PEPU,52,cone_green_02,packaging_dispersal,cone_green,cone
PEPU,53,cone_green_03,packaging_dispersal,cone_green,cone
PEPU,54,cone_green_04,packaging_dispersal,cone_green,cone
PEPU,45,cone_just_starting_01,packaging_dispersal,cone_green,cone
PEPU,46,cone_just_starting_02,packaging_dispersal,cone_green,cone
PEPU,47,cone_young_01,packaging_dispersal,cone_green,cone
PEPU,48,cone_young_02,packaging_dispersal,cone_green,cone
PEPU,49,cone_young_03,packaging_dispersal,cone_green,cone
PEPU,50,cone_young_04,packaging_dispersal,cone_green,cone
PEPU,13,flower_petals,prepollination_success,petals,petals
PEPU,15,flower_stigma,prepollination_success,stigma,fruit_seed_immature
PEPU,35,fruit_aborted,postpollination_abort,fruit_immature,fruit_seed_immature
PEPU,36,fruit_empty,postpollination_abort,fruit_immature,fruit_seed_immature
PEPU,27,fruit_just_starting,postpollination_abort,fruit_immature,fruit_seed_immature
PEPU,29,fruit_large_immature_01,postpollination_abort,fruit_immature,fruit_seed_immature
PEPU,37,fruit_mature,propagule,fruit_mature,fruit_mature
PEPU,28,fruit_young,postpollination_abort,fruit_immature,fruit_seed_immature
PHPH,23,bract_flower_or_finished_flower,prepollination_success,bract,bract
PHPH,10,bud_mid,prepollination_abort,bud,petals
PHPH,9,bud_small,prepollination_abort,bud,petals
PHPH,20,finished_flower,prepollination_success,finished_flower,fruit_seed_immature
PHPH,21,finished_flower_stigma,prepollination_success,stigma,fruit_seed_immature
PHPH,17,flower_aborted,prepollination_abort,bud,petals
PHPH,18,flower_aborted_without_petals,prepollination_abort,bud,petals
PHPH,16,flower_calyx,prepollination_success,calyx,calyx
PHPH,13,flower_petals,prepollination_success,petals,petals
PHPH,14,flower_petals_small,prepollination_success,petals,petals
PHPH,15,flower_stigma,prepollination_success,stigma,fruit_seed_immature
PHPH,35,fruit_aborted,postpollination_abort,fruit_immature,fruit_seed_immature
PHPH,27,fruit_just_starting,postpollination_abort,fruit_immature,fruit_seed_immature
PHPH,29,fruit_large_immature_01,postpollination_abort,fruit_immature,fruit_seed_immature
PHPH,28,fruit_young,postpollination_abort,fruit_immature,fruit_seed_immature
PHPH,22,late_finished_flower,prepollination_success,finished_flower,fruit_seed_immature
PHPH,44,seed,propagule,seed,seed
PHPH,43,seed_aborted,postpollination_abort,seed_aborted,fruit_seed_immature
PHPH,41,seed_pod,packaging_dispersal,seed_pod,seed_pod
PILI,23,bract_flower_or_finished_flower,prepollination_success,bract,green_parts
PILI,11,bud_big,prepollination_abort,bud,petals
PILI,16,flower_calyx,prepollination_success,calyx,green_parts
PILI,13,flower_petals,prepollination_success,petals,petals
PILI,15,flower_stigma,prepollination_success,stigma,fruit_seed_immature
PILI,35,fruit_aborted,postpollination_abort,fruit_immature,fruit_seed_immature
PILI,29,fruit_large_immature_01,postpollination_abort,fruit_immature,fruit_seed_immature
PILI,28,fruit_young,postpollination_abort,fruit_immature,fruit_seed_immature
PILI,4,inflorescence_bud_mid,prepollination_abort,bud,petals
PILI,1,inflorescence_stalk,packaging_dispersal,inflorescence_stalk,green_parts
PILI,44,seed,propagule,seed,seed
PILI,41,seed_pod,packaging_dispersal,seed_pod,seed_pod
PUTU,23,bract_flower_or_finished_flower,prepollination_success,bract,bract
PUTU,39,bract_fruit,prepollination_success,bract,bract
PUTU,11,bud_big,prepollination_abort,bud,petals
PUTU,21,finished_flower_stigma,prepollination_success,stigma,petals
PUTU,17,flower_aborted,prepollination_abort,bud,petals
PUTU,16,flower_calyx,prepollination_success,calyx,calyx
PUTU,13,flower_petals,prepollination_success,petals,petals
PUTU,15,flower_stigma,prepollination_success,stigma,petals
PUTU,35,fruit_aborted,postpollination_abort,fruit_immature,fruit_seed_immature
PUTU,29,fruit_large_immature_01,postpollination_abort,fruit_immature,fruit_seed_immature
PUTU,44,seed,propagule,seed,seed
PUTU,43,seed_aborted,postpollination_abort,seed_aborted,fruit_seed_immature
PUTU,41,seed_pod,packaging_dispersal,seed_pod,seed_pod
BAER,100,nectar,prepollination_success,nectar,nectar
GRBU,100,nectar,prepollination_success,nectar,nectar
GRSP,100,nectar,prepollination_success,nectar,nectar
HATE,100,nectar,prepollination_success,nectar,nectar
