sort01,sort02,species,replicate,individual,site,age,age_exact,date,start_end,census,interval,year,year_div,segment,node_below,node_above,plant_status,use_status,stem_weight,leaf_weight,root_weight,diameter_1,diameter_2,diameter_3,diameter_ave,total_stem_weight,total_leaf_weight,total_plant_weight,height,notes
23,,EPMI,B-01,EPMI_B-01,baby,0.1,0.1,27-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,2.98,10.3,,0.49,0.44,,0.47,2.98,10.3,13.28,30,23 mm with lvs
24,,EPMI,B-02,EPMI_B-02,baby,0.1,0.1,27-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,4.6,13.1,,0.46,0.46,,0.46,4.6,13.1,17.7,41,38 mm with lvs
25,,EPMI,B-03,EPMI_B-03,baby,0.1,0.1,27-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,6.6,28.5,,0.57,0.58,,0.58,6.6,28.5,35.1,47,37 mm with lvs
26,,EPMI,B-04,EPMI_B-04,baby,0.1,0.1,27-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,17.7,5.3,,0.31,0.3,,0.31,17.7,5.3,23,28,25 mm with lvs
27,,GRBU,B-01,GRBU_B-01,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,39.8,130.9,,1.05,,,1.05,39.8,130.9,170.7,101,
28,,GRBU,B-02,GRBU_B-02,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,87.7,384.7,,1.41,1.68,1.51,1.53,87.7,384.7,472.4,145,
29,,GRBU,B-03,GRBU_B-03,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,96.6,357.7,,1.48,1.48,1.47,1.48,96.6,357.7,454.3,143,
30,,GRBU,B-04,GRBU_B-04,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,18.2,51,,1.48,1.41,1.37,1.42,18.2,51,69.2,44,
31,,GRSP,B-01,GRSP_B-01,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,64,194,,1.33,1.25,1.29,1.29,64,194,258,147,
32,,GRSP,B-02,GRSP_B-02,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,84,340.9,,1.33,1.24,1.17,1.25,84,340.9,424.9,125,
33,,GRSP,B-03,GRSP_B-03,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,33.8,193,,1,1.01,1.04,1.02,33.8,193,226.8,72,
34,,GRSP,B-04,GRSP_B-04,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,106,507.6,,1.53,1.52,1.46,1.5,106,507.6,613.6,140,
35,,GRSP,B-05,GRSP_B-05,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,78.7,379.9,,1.39,1.28,1.35,1.34,78.7,379.9,458.6,119,
36,,HATE,B-01,HATE_B-01,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,145.2,630,,1.91,,,1.91,145.2,630,775.2,135,
37,,HATE,B-02,HATE_B-02,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,101.5,401.9,,1.64,1.66,16.68,6.66,101.5,401.9,503.4,138,
38,,HATE,B-03,HATE_B-03,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,241.4,740.9,,2.53,2.66,2.7,2.63,241.4,740.9,982.3,145,
39,,HATE,B-04,HATE_B-04,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,92.7,445.7,,1.94,1.93,1.91,1.93,92.7,445.7,538.4,100,
40,,HATE,B-05,HATE_B-05,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,72.6,394.7,,1.85,1.91,1.91,1.89,72.6,394.7,467.3,93,
41,,HATE,B-06,HATE_B-06,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,14.3,70.2,,1.37,1.39,,,,,,58,
42,,HEPU,B-01,HEPU_B-01,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,11.6,32.4,,0.53,0.58,,0.56,11.6,32.4,44,75,
43,,HEPU,B-02,HEPU_B-02,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,16.4,35.3,,0.59,0.53,,0.56,16.4,35.3,51.7,115,
44,,HEPU,B-03,HEPU_B-03,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,25.6,80.3,,0.57,0.61,,0.59,25.6,80.3,105.9,116,
45,,HEPU,B-04,HEPU_B-04,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,7,22,,0.49,0.52,,0.51,7,22,29,56,
46,,LEES,B-01,LEES_B-01,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,2.6,10.9,,0.36,,,0.36,2.6,10.9,13.5,33,21 mm with lvs
47,,LEES,B-02,LEES_B-02,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,3.1,12.9,,0.36,,,0.36,3.1,12.9,16,38,20 mm with leaves
48,,LEES,B-03,LEES_B-03,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,4.6,18.6,,0.52,0.51,,0.52,4.6,18.6,23.2,41,
49,,LEES,B-04,LEES_B-04,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,2.8,1.31,,0.39,0.39,,0.39,2.8,1.31,4.11,35,
50,,LEES,B-06,LEES_B-06,baby,0.1,0.1,27-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,3.6,13.8,,0.4,0.38,,0.39,3.6,13.8,17.4,41,22 mm with lvs
51,,LEES,B-07,LEES_B-07,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,6.4,19.1,,0.48,0.46,,0.47,6.4,19.1,25.5,49,
52,,LEES,B-08,LEES_B-08,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,2.2,3.7,,0.32,0.33,,0.33,2.2,3.7,5.9,34,
53,,LEES,B-09,LEES_B-09,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,2,7.6,,0.31,0.3,,0.31,2,7.6,9.6,28,
54,,PELA,B-01,PELA_B-01,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,21.1,125.6,,1.33,1.35,,1.34,21.1,125.6,146.7,25,see env
55,,PELA,B-02,PELA_B-02,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,73.1,436.8,,1.55,1.57,,1.56,73.1,436.8,509.9,50,see env
56,,PELA,B-03,PELA_B-03,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,24.1,106.1,,1.19,1.15,,1.17,24.1,106.1,130.2,27,
57,,PELA,B-05,PELA_B-05,baby,0.1,0.1,27-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,39.7,286.7,,1.63,,,1.63,39.7,286.7,326.4,34,see env
58,,PELA,B-06,PELA_B-06,baby,0.1,0.1,27-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,15.8,88.1,,1.44,1.47,,1.46,15.8,88.1,103.9,22,
59,,PELA,B-07,PELA_B-07,baby,0.1,0.1,27-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,29.6,145.2,,1.91,1.95,,1.93,29.6,145.2,174.8,25,see env
60,,PEPU,B-01,PEPU_B-01,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,14.1,62,,0.9,,,0.9,14.1,62,76.1,25,
61,,PEPU,B-02,PEPU_B-02,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,13.7,59.8,,0.84,,,0.84,13.7,59.8,73.5,18,
62,,PEPU,B-03,PEPU_B-03,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,18.7,64.6,,0.91,0.99,,0.95,18.7,64.6,83.3,25,
63,,PEPU,B-07,PEPU_B-07,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,13,66.1,,0.7,0.64,,0.67,13,66.1,79.1,33,
64,,PEPU,B-08,PEPU_B-08,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,10.7,74.4,,0.64,0.68,,0.66,10.7,74.4,85.1,31,
65,,PILI,B-01,PILI_B-01,baby,0.1,0.1,22-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,2.4,8.6,,0.48,0.48,,0.48,2.4,8.6,11,28,
66,,PILI,B-02,PILI_B-02,baby,0.1,0.1,27-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,16.6,73.6,,0.87,0.91,,0.89,16.6,73.6,90.2,82,55 leaves
67,,PILI,B-03,PILI_B-03,baby,0.1,0.1,27-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,15,42.6,,0.7,0.64,,0.67,15,42.6,57.6,88,60 leaves
68,,PILI,B-04,PILI_B-04,baby,0.1,0.1,27-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,8.1,40,,0.67,0.71,,0.69,8.1,40,48.1,48,47 leaves
69,,PILI,B-05,PILI_B-05,baby,0.1,0.1,27-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,4.7,15.2,,0.49,0.45,,0.47,4.7,15.2,19.9,47,40 leaves
70,,PILI,B-06,PILI_B-06,baby,0.1,0.1,27-Jan-14,start,25,,2013,2013,1,0,1,alive,do_not_use,6.8,24.1,,0.49,0.49,,0.49,6.8,24.1,30.9,48,36 lvs
71,,PUTU,B-01,PUTU_B-01,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,30.3,113.4,,0.99,1.03,1.03,1.02,30.3,113.4,143.7,44,
72,,PUTU,B-02,PUTU_B-02,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,11.7,42.3,,0.77,0.78,,0.78,11.7,42.3,54,29,
73,,PUTU,B-03,PUTU_B-03,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,45.8,123.3,,1.02,1,1.03,1.02,45.8,123.3,169.1,69,
74,,PUTU,B-04,PUTU_B-04,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,33.2,74.6,,1.05,1.02,1.04,1.04,33.2,74.6,107.8,50,
75,,PUTU,B-05,PUTU_B-05,baby,0.1,0.1,28-Jun-13,start,19,,2013,2013,1,0,1,alive,do_not_use,21.8,72.6,,0.92,0.87,0.88,0.89,21.8,72.6,94.4,47,
76,,BAER,301,BAER 301,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.09,1.08,,,,,,150,
77,,BAER,302,BAER 302,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.63,1.5,,,,,,234,
78,,BAER,303,BAER 303,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,2.24,2.22,,,,,,130,
79,,BAER,304,BAER 304,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,2.29,2.38,,,,,,90,
80,,BAER,305,BAER 305,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,2.74,2.67,,,,,,140,
81,,BAER,306,BAER 306,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,2.47,2.52,,,,,,138,
82,,BAER,307,BAER 307,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.41,1.57,,,,,,85,
83,,BAER,308,BAER 308,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.96,2.04,,,,,,145,
84,,BAER,309,BAER 309,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.07,0.96,,,,,,116,
85,,BAER,310,BAER 310,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,2.86,2.64,,,,,,182,
86,,BAER,311,BAER 311,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,3.2,3.29,,,,,,148,
87,,BAER,312,BAER 312,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,2.43,2.55,,,,,,133,
88,,BAER,313,BAER 313,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,2.35,2.25,,,,,,108,
89,,BAER,314,BAER 314,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,2.25,2.08,,,,,,121,
90,,BAER,315,BAER 315,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.51,1.47,,,,,,105,
91,,BOLE,301,BOLE 301,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.06,1.09,,,,,,65,
92,,BOLE,302,BOLE 302,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.76,0.72,,,,,,50,
93,,BOLE,303,BOLE 303,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.88,0.87,,,,,,70,
94,,BOLE,304,BOLE 304,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.18,,,,,,,35,
95,,BOLE,305,BOLE 305,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.99,1.02,,,,,,76,
96,,BOLE,306,BOLE 306,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.26,1.22,,,,,,96,
97,,BOLE,307,BOLE 307,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.65,0.61,,,,,,75,
98,,BOLE,308,BOLE 308,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.26,1.12,,,,,,66,
99,,BOLE,309,BOLE 309,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.96,0.91,,,,,,55,
100,,BOLE,310,BOLE 310,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.21,1.17,,,,,,70,
101,,BOLE,311,BOLE 311,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.02,0.99,,,,,,80,
102,,BOLE,312,BOLE 312,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.21,1.1,,,,,,77,
103,,BOLE,313,BOLE 313,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.32,1.29,,,,,,94,
104,,BOLE,314,BOLE 314,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.94,0.84,,,,,,70,
105,,BOLE,315,BOLE 315,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.74,0.74,,,,,,38,
106,,BOLE,316,BOLE 316,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.92,0.93,,,,,,55,
107,,BOLE,317,BOLE 317,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.41,0.4,,,,,,56,
108,,COER,302,COER 302,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.89,0.92,,,,,,9,
109,,COER,303,COER 303,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.25,1.25,,,,,,30,
110,,COER,304,COER 304,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1,,,,,,,12,
111,,COER,305,COER 305,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,,,,,,,,3,
112,,COER,306,COER 306,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.61,,,,,,,8,
113,,COER,307,COER 307,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.59,,,,,,,15,
114,,COER,308,COER 308,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,,,,,,,,3,
115,,COER,309,COER 309,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.79,,,,,,,16,
116,,COER,321,COER 321,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,,,,,,,,8,
117,,COER,322,COER 322,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,,,,,,,,8,
118,,COER,324,COER 324,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,,,,,,,,8,
119,,COER,325,COER 325,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.14,,,,,,,27,
120,,COER,326,COER 326,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.3,,,,,,,23,
121,,COER,327,COER 327,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.79,,,,,,,16,
122,,COER,328,COER 328,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,,,,,,,,20,
123,,EPMI,301,EPMI 301,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.23,0.21,,,,,,39,
124,,EPMI,302,EPMI 302,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.2,0.19,,,,,,21,
125,,EPMI,303,EPMI 303,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.28,0.25,,,,,,17,
126,,EPMI,304,EPMI 304,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.27,0.26,,,,,,36,
127,,EPMI,305,EPMI 305,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.44,0.5,,,,,,30,
128,,EPMI,306,EPMI 306,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.42,0.39,,,,,,24,
129,,EPMI,307,EPMI 307,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.57,0.63,,,,,,38,
130,,EPMI,308,EPMI 308,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.34,,,,,,,17,
131,,EPMI,309,EPMI 309,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.31,,,,,,,16,
132,,EPMI,310,EPMI 310,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.52,,,,,,,43,
133,,EPMI,311,EPMI 311,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.33,0.32,,,,,,45,
134,,EPMI,312,EPMI 312,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.21,0.21,,,,,,26,
135,,EPMI,313,EPMI 313,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.16,0.15,,,,,,27,
136,,EPMI,314,EPMI 314,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.2,0.19,,,,,,32,
137,,EPMI,315,EPMI 315,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.31,0.32,,,,,,45,
138,,EPMI,316,EPMI 316,Wilunga2012,0.5,0.5,27-Sep-13,mid01,21,0.33,2013,2013.2,,,,,,,,,0.25,0.24,,,,,,34,
139,,GRBU,301,GRBU 301,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.64,1.54,,,,,,105,
140,,GRBU,302,GRBU 302,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,3.22,3.17,,,,,,245,
141,,GRBU,303,GRBU 303,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.94,1.72,,,,,,113,
142,,GRBU,304,GRBU 304,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.44,1.36,,,,,,98,
143,,GRBU,305,GRBU 305,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.49,1.41,,,,,,72,
144,,GRBU,306,GRBU 306,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,3.03,2.89,,,,,,310,
145,,GRBU,307,GRBU 307,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,1.86,1.8,,,,,,123,
146,,GRBU,308,GRBU 308,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,2.2,2.21,,,,,,165,
147,,GRBU,309,GRBU 309,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,2.04,2,,,,,,233,
148,,GRBU,310,GRBU 310,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,2.13,2.12,,,,,,264,
149,,GRBU,311,GRBU 311,Wilunga2012,0.5,0.5,3-Oct-13,mid01,21,0.33,2013,2013.2,,,,,,,,,4.39,4.56,,,,,,282,
