sample,approx_dry_weight_mg,species,site,age,individual,tissue_complete,tissue_simple,tissue,live_dead,no_sample,Al,B,Ca,Cu,Fe,K,Mg ,Mn,Na,P,S,Zn,C,N
MQ_139_shed_sapwood,248.6,BAER,Waratah2003,9,BAER_80X,shed_sapwood,shed_sapwood,sapwood,dead,use,126,9,0.091,8.9,95,0.023,0.091,12,436,3,0.044,9,43.7,0.143
MQ_140_wood_from_base,1649.7,BAER,Waratah2003,9,BAER_805,wood_from_base,wood_from_base,wood_from_base,mixed,use,178,5,0.135,4.3,46,0.289,0.129,12,3495,35,0.096,112,45.2,0.082
MQ_141_wood_from_middle,242.2,BAER,Waratah2003,9,BAER_805,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,213,13,0.248,4.4,30,0.263,0.169,26,2346,65,0.159,19,44.4,0.076
MQ_142_wood_from_tip,216.3,BAER,Waratah2003,9,BAER_80X,wood_from_tip,wood_from_tip,sapwood,live,use,89,13,0.351,17.7,40,0.237,0.073,25,1379,135,0.145,19,45.4,0.224
MQ_143_bark,184.1,BAER,Basin1981,32,BAER_905,bark,bark,bark,live,use,189,29,0.26,2.2,34,0.382,0.197,57,1354,71,0.154,19,47.1,0.347
MQ_144_shed_bark,217.9,BAER,Basin1981,32,BAER_90X,shed_bark,shed_bark,bark,dead,use,113,12,0.323,3.7,84,0.189,0.113,41,988,21,0.126,14,48.4,0.476
MQ_145_shed_sapwood,193.1,BAER,Basin1981,32,BAER_90X,shed_sapwood,shed_sapwood,sapwood,dead,use,54,19,0.121,0.9,27,0.121,0.078,23,867,2,0.078,11,43.3,0.135
MQ_146_wood_from_base,280.8,BAER,Basin1981,32,BAER_905,wood_from_base,wood_from_base,wood_from_base,mixed,use,66,5,0.044,1.3,274,0.074,0.087,6,926,15,0.069,11,45.8,0.093
MQ_147_wood_from_middle,365,BAER,Basin1981,32,BAER_905,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,36,2,0.102,2.1,31,0.267,0.176,18,2087,28,0.099,1,44.2,0.087
MQ_148_wood_from_tip,244.7,BAER,Basin1981,32,BAER_90X,wood_from_tip,wood_from_tip,sapwood,live,use,29,25,0.045,9.2,21,0.186,0.072,11,1207,90,0.067,3,44.1,0.266
MQ_149_bark,225.9,BOLE,Wilunga2012,1.4,BOLE_30A,bark,bark,bark,live,use,86,29,0.478,3.5,78,0.574,0.171,74,760,93,0.091,20,43.6,0.49
MQ_150_wood_from_base,125.1,BOLE,Wilunga2012,1.4,BOLE_306,wood_from_base,wood_from_base,wood_from_base,mixed,insufficient_sample_for_CN,30,19,0.111,2.4,17,0.238,0.067,20,332,62,0.039,12,,
MQ_151_wood_from_tip,119.7,BOLE,Wilunga2012,1.4,BOLE_306,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,32,22,0.243,1.7,22,0.124,0.171,40,318,48,0.039,4,,
MQ_152_bark,109.6,BOLE,Wilunga2012,1.4,BOLE_313,bark,bark,bark,live,insufficient_sample_for_CN,140,16,0.397,3.7,145,0.313,0.148,52,334,115,0.087,11,,
MQ_153_wood_from_base,151.2,BOLE,Wilunga2012,1.4,BOLE_313,wood_from_base,wood_from_base,wood_from_base,mixed,use,24,17,0.157,2.8,19,0.306,0.075,26,340,75,0.05,31,45.3,0.186
MQ_154_wood_from_tip,123.9,BOLE,Wilunga2012,1.4,BOLE_313,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,20,37,0.341,2.5,13,0.466,0.232,58,609,88,0.075,7,,
MQ_155_bark,116.2,BOLE,Wilunga2012,1.4,BOLE_307,bark,bark,bark,live,insufficient_sample_for_CN,220,38,0.506,4.2,231,0.364,0.315,84,980,163,0.113,38,,
MQ_156_wood_from_base,199.5,BOLE,Wilunga2012,1.4,BOLE_307,wood_from_base,wood_from_base,wood_from_base,mixed,use,24,19,0.084,3,19,0.185,0.066,19,464,69,0.066,29,45.8,0.193
MQ_157_wood_from_tip,212.6,BOLE,Wilunga2012,1.4,BOLE_307,wood_from_tip,wood_from_tip,sapwood,live,use,12,12,0.34,1.8,19,0.32,0.301,82,1015,91,0.069,2,44.9,0.114
MQ_158_shed_bark,SKIPPED,BOLE,Wilunga2012,1.4,BOLE_xxx,shed_bark,shed_bark,bark,dead,no_sample,,,,,,,,,,,,,,
MQ_159_shed_sapwood,SKIPPED,BOLE,Wilunga2012,1.4,BOLE_xxx,shed_sapwood,shed_sapwood,sapwood,dead,no_sample,,,,,,,,,,,,,,
MQ_160_bark,105.6,BOLE,Waratah2011,2.4,BOLE_155,bark,bark,bark,live,insufficient_sample_for_CN,196,25,0.434,5.4,170,0.337,0.336,51,293,85,0.083,36,,
MQ_161_wood_from_base,396.6,BOLE,Waratah2011,2.4,BOLE_155,wood_from_base,wood_from_base,wood_from_base,mixed,use,23,32,0.105,1.9,20,0.158,0.085,16,203,19,0.039,28,45.3,0.144
MQ_162_wood_from_middle,128.8,BOLE,Waratah2011,2.4,BOLE_155,wood_from_middle,wood_from_middle,wood_from_middle,mixed,insufficient_sample_for_CN,19,54,0.478,2.7,34,0.936,0.485,103,1319,171,0.076,18,,
MQ_163_wood_from_tip,163.5,BOLE,Waratah2011,2.4,BOLE_15X,wood_from_tip,wood_from_tip,sapwood,live,use,22,12,0.102,3.6,26,0.197,0.092,24,609,60,0.048,19,44.8,0.293
MQ_164_bark,112.5,BOLE,Waratah2011,2.4,BOLE_156,bark,bark,bark,live,insufficient_sample_for_CN,216,28,0.43,4.8,288,0.217,0.163,49,449,82,0.071,36,,
MQ_165_wood_from_base,206.3,BOLE,Waratah2011,2.4,BOLE_156,wood_from_base,wood_from_base,wood_from_base,mixed,use,4,8,0.103,2,7,0.152,0.092,16,257,68,0.036,8,44.8,0.139
MQ_166_wood_from_middle,122,BOLE,Waratah2011,2.4,BOLE_156,wood_from_middle,wood_from_middle,wood_from_middle,mixed,insufficient_sample_for_CN,23,18,0.239,3,16,0.192,0.119,44,756,54,0.056,25,,
MQ_167_wood_from_tip,181.3,BOLE,Waratah2011,2.4,BOLE_156,wood_from_tip,wood_from_tip,sapwood,live,use,25,11,0.169,5.8,19,0.355,0.107,24,1132,85,0.062,36,43.9,0.275
MQ_168_bark,239,BOLE,Waratah2011,2.4,BOLE_15X,bark,bark,bark,live,use,74,16,0.376,7.7,92,0.371,0.207,59,792,125,0.077,28,44.6,0.494
MQ_169_wood_from_base,410.3,BOLE,Waratah2011,2.4,BOLE_157,wood_from_base,wood_from_base,wood_from_base,mixed,use,9,7,0.096,1.7,16,0.141,0.076,25,69,33,0.028,20,45.4,0.141
MQ_170_wood_from_middle,249.3,BOLE,Waratah2011,2.4,BOLE_157,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,10,17,0.11,2,6,0.183,0.091,30,150,53,0.032,21,44.7,0.18
MQ_171_wood_from_tip,163.8,BOLE,Waratah2011,2.4,BOLE_157,wood_from_tip,wood_from_tip,sapwood,live,use,28,14,0.178,3.4,17,0.278,0.097,30,1646,85,0.058,30,44.6,0.254
MQ_172_shed_bark,177,BOLE,Waratah2011,2.4,BOLE_15X,shed_bark,shed_bark,bark,dead,use,119,19,0.601,7,198,0.077,0.284,96,598,67,0.111,23,44.9,0.414
MQ_173_shed_bark,139.1,BOLE,Waratah2011,2.4,BOLE_15Y,shed_bark,shed_bark,bark,dead,use,130,27,0.513,5.3,185,0.18,0.291,99,1076,67,0.11,67,44.4,0.387
MQ_174_shed_sapwood,262.2,BOLE,Waratah2011,2.4,BOLE_15X,shed_sapwood,shed_sapwood,sapwood,dead,use,13,9,0.088,1.7,44,0.025,0.072,24,241,8,0.042,10,45.5,0.201
MQ_175_shed_sapwood,129.9,BOLE,Waratah2011,2.4,BOLE_15Y,shed_sapwood,shed_sapwood,sapwood,dead,use,32,30,0.126,2.6,18,0.113,0.118,31,634,8,0.058,47,45.8,0.206
MQ_176_bark,226.6,BOLE,Basin2005,7,BOLE_00X,bark,bark,bark,live,use,83,38,0.42,5,85,0.178,0.183,36,576,50,0.093,26,44.4,0.492
MQ_177_shed_bark,115.8,BOLE,Basin2005,7,BOLE_003,shed_bark,shed_bark,bark,dead,insufficient_sample_for_CN,117,35,0.455,4.5,172,0.157,0.173,46,725,35,0.102,31,,
MQ_178_shed_sapwood,113.5,BOLE,Basin2005,7,BOLE_003,shed_sapwood,shed_sapwood,sapwood,dead,insufficient_sample_for_CN,23,2,0.162,1.6,31,0.061,0.061,21,389,8,0.06,4,,
MQ_179_wood_from_base,445.4,BOLE,Basin2005,7,BOLE_003,wood_from_base,wood_from_base,wood_from_base,mixed,use,32,9,0.179,1.8,8,0.166,0.084,48,786,36,0.064,32,45.8,0.029
MQ_180_wood_from_middle,147.7,BOLE,Basin2005,7,BOLE_003,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,32,9,0.226,2.1,20,0.248,0.113,64,783,39,0.077,18,44.3,0.176
MQ_181_wood_from_tip,144,BOLE,Basin2005,7,BOLE_00X,wood_from_tip,wood_from_tip,sapwood,live,use,13,7,0.238,4.9,15,0.324,0.091,23,870,87,0.094,25,45.5,0.111
MQ_182_bark,130,BOLE,Basin2005,7,BOLE_006,bark,bark,bark,live,insufficient_sample_for_CN,219,24,0.544,4,214,0.203,0.201,59,513,61,0.088,19,,
MQ_183_shed_bark,154.8,BOLE,Basin2005,7,BOLE_00X,shed_bark,shed_bark,bark,dead,use,64,20,0.469,3.9,112,0.031,0.187,61,422,44,0.074,3,44.3,0.421
MQ_184_shed_sapwood,260.4,BOLE,Basin2005,7,BOLE_00X,shed_sapwood,shed_sapwood,sapwood,dead,use,0,15,0.103,1.2,11,0.006,0.045,16,105,15,0.037,2,44.6,0.142
MQ_185_wood_from_base,261.3,BOLE,Basin2005,7,BOLE_006,wood_from_base,wood_from_base,wood_from_base,mixed,use,0,4,0.226,1.6,5,0.284,0.106,37,743,23,0.086,75,45.7,0.033
MQ_186_wood_from_middle,116.5,BOLE,Basin2005,7,BOLE_006,wood_from_middle,wood_from_middle,wood_from_middle,mixed,insufficient_sample_for_CN,3,25,0.477,1.7,17,0.624,0.36,112,2301,165,0.074,17,,
MQ_187_wood_from_tip,131.6,BOLE,Basin2005,7,BOLE_00Y,wood_from_tip,wood_from_tip,sapwood,live,use,2,2,0.189,3.5,15,0.304,0.149,34,968,87,0.086,28,45.6,0.125
MQ_188_bark,131.1,BOLE,Basin2005,7,BOLE_008,bark,bark,bark,live,use,387,10,0.472,4.8,322,0.172,0.24,71,592,75,0.109,25,44.3,0.473
MQ_189_shed_bark,100,BOLE,Basin2005,7,BOLE_008,shed_bark,shed_bark,bark,dead,insufficient_sample_for_CN,83,32,0.579,4.9,184,0.077,0.31,97,472,65,0.109,87,,
MQ_190_shed_sapwood,120.7,BOLE,Basin2005,7,BOLE_008,shed_sapwood,shed_sapwood,sapwood,dead,insufficient_sample_for_CN,2,14,0.114,1.4,14,0.023,0.08,23,149,7,0.042,22,,
MQ_191_wood_from_base,516.5,BOLE,Basin2005,7,BOLE_008,wood_from_base,wood_from_base,wood_from_base,mixed,use,1,3,0.116,1.1,20,0.061,0.075,36,378,18,0.039,29,45.4,0.03
MQ_192_wood_from_middle,166.6,BOLE,Basin2005,7,BOLE_008,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,5,8,0.192,1.5,11,0.327,0.175,58,775,76,0.064,22,44.2,0.182
MQ_193_wood_from_tip,123.8,BOLE,Basin2005,7,BOLE_00Z,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,11,11,0.245,3.5,26,0.362,0.118,34,990,73,0.093,7,,
MQ_194_bark,127.7,BOLE,Waratah2003,9,BOLE_80X,bark,bark,bark,live,use,128,9,0.448,5.4,228,0.339,0.254,55,690,223,0.093,31,44.7,0.933
MQ_195_shed_bark,126.6,BOLE,Waratah2003,9,BOLE_80X,shed_bark,shed_bark,bark,dead,insufficient_sample_for_CN,97,39,0.533,6.4,165,0.054,0.277,67,253,45,0.089,5,,
MQ_196_shed_sapwood,124.1,BOLE,Waratah2003,9,BOLE_80X,shed_sapwood,shed_sapwood,sapwood,dead,insufficient_sample_for_CN,11,10,0.071,1.2,14,0.006,0.068,12,87,2,0.025,3,,
MQ_197_wood_from_base,199.2,BOLE,Waratah2003,9,BOLE_801,wood_from_base,wood_from_base,wood_from_base,mixed,use,5,14,0.087,1,4,0.098,0.185,13,1413,75,0.067,2,43.7,0.256
MQ_198_wood_from_middle,115,BOLE,Waratah2003,9,BOLE_801,wood_from_middle,wood_from_middle,wood_from_middle,mixed,insufficient_sample_for_CN,3,12,0.103,1.7,15,0.184,0.215,15,823,38,0.068,2,,
MQ_199_wood_from_tip,119,BOLE,Waratah2003,9,BOLE_80X,wood_from_tip,wood_from_tip,sapwood,live,use,4,1,0.155,3.1,15,0.215,0.106,22,485,119,0.055,1,43.1,0.298
MQ_200_bark,120.6,BOLE,Waratah2003,9,BOLE_803,bark,bark,bark,live,insufficient_sample_for_CN,531,12,0.451,3.4,544,0.091,0.407,37,728,29,0.123,4,,
MQ_201_shed_bark,198,BOLE,Waratah2003,9,BOLE_80Y,shed_bark,shed_bark,bark,dead,use,56,18,0.653,4,101,0.03,0.276,61,382,29,0.094,36,44.3,0.584
MQ_202_shed_sapwood,181.7,BOLE,Waratah2003,9,BOLE_80Y,shed_sapwood,shed_sapwood,sapwood,dead,use,1,11,0.151,1.7,6,0.008,0.087,19,138,4,0.057,22,43.6,0.369
MQ_203_wood_from_base,225.9,BOLE,Waratah2003,9,BOLE_802,wood_from_base,wood_from_base,wood_from_base,mixed,use,12,6,0.108,1.4,6,0.084,0.159,18,847,62,0.056,1,43.2,0.228
MQ_204_wood_from_middle,101.2,BOLE,Waratah2003,9,BOLE_802,wood_from_middle,wood_from_middle,wood_from_middle,mixed,insufficient_sample_for_CN,2,13,0.086,1.8,7,0.084,0.142,10,424,11,0.05,2,,
MQ_205_wood_from_tip,104.7,BOLE,Waratah2003,9,BOLE_80Y,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,7,7,0.164,5.4,19,0.328,0.132,29,1254,100,0.083,2,,
MQ_206_bark,135.4,BOLE,Waratah2003,9,BOLE_807,bark,bark,bark,live,use,147,18,0.489,4.2,261,0.093,0.347,36,472,47,0.105,15,44.3,0.852
MQ_207_shed_bark,229.4,BOLE,Waratah2003,9,BOLE_80Z,shed_bark,shed_bark,bark,dead,use,82,11,0.653,4.8,147,0.035,0.21,90,162,68,0.109,25,44.1,0.625
MQ_208_shed_sapwood,203.3,BOLE,Waratah2003,9,BOLE_80Z,shed_sapwood,shed_sapwood,sapwood,dead,use,32,40,0.116,1.1,10,0.056,0.054,15,157,9,0.048,9,44.1,0.342
MQ_209_wood_from_base,150.3,BOLE,Waratah2003,9,BOLE_807,wood_from_base,wood_from_base,wood_from_base,mixed,use,3,7,0.132,0.8,5,0.029,0.202,15,411,9,0.046,1,44.6,0.242
MQ_210_wood_from_middle,102.4,BOLE,Waratah2003,9,BOLE_807,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,3,25,0.227,1.4,15,0.074,0.307,24,486,6,0.069,1,43,0.312
MQ_211_wood_from_tip,121.1,BOLE,Waratah2003,9,BOLE_80Z,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,2,1,0.148,2.7,17,0.177,0.087,20,728,66,0.048,2,,
MQ_212_bark,213.9,COER,Wilunga2012,1.4,COER_30X,bark,bark,bark,live,use,424,9,0.244,3.4,405,0.145,0.306,37,2221,170,0.103,142,48,0.601
MQ_213_wood_from_base,189.1,COER,Wilunga2012,1.4,COER_30A,wood_from_base,wood_from_base,wood_from_base,mixed,use,25,1,0.041,4.5,31,0.063,0.042,4,121,108,0.041,4,43.6,0.331
MQ_214_wood_from_tip,142.7,COER,Wilunga2012,1.4,COER_30A,wood_from_tip,wood_from_tip,sapwood,live,use,9,1,0.044,3.9,14,0.053,0.045,8,974,30,0.056,2,44.2,0.332
MQ_215_bark,179.7,COER,Waratah2011,2.4,COER_15A,bark,bark,bark,live,use,175,1,0.248,4.3,208,0.362,0.171,229,2359,230,0.088,165,47.6,0.576
MQ_216_wood_from_base,257.8,COER,Waratah2011,2.4,COER_15A,wood_from_base,wood_from_base,wood_from_base,mixed,use,7,1,0.044,3,31,0.118,0.043,9,138,26,0.028,11,44.2,0.347
MQ_217_wood_from_middle,187.6,COER,Waratah2011,2.4,COER_15A,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,14,11,0.038,3.2,8,0.075,0.034,17,316,25,0.026,13,43,0.386
MQ_218_wood_from_tip,121.5,COER,Waratah2011,2.4,COER_15A,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,9,9,0.052,9.3,23,0.054,0.036,53,740,26,0.035,29,,
MQ_219_bark,159.7,COER,Basin2005,7,COER_00X,bark,bark,bark,live,use,96,14,0.416,57.6,87,0.123,0.266,44,563,38,0.07,93,48.4,0.627
MQ_220_wood_from_base,167.4,COER,Basin2005,7,COER_003,wood_from_base,wood_from_base,wood_from_base,mixed,use,19,22,0.047,1.4,13,0.101,0.077,12,427,25,0.032,19,44.3,0.286
MQ_221_wood_from_middle,134.6,COER,Basin2005,7,COER_003,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,83,26,0.082,3.4,17,0.132,0.19,24,811,63,0.043,28,43.1,0.367
MQ_222_wood_from_tip,119.6,COER,Basin2005,7,COER_00X,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,18,8,0.092,5.7,11,0.125,0.129,22,454,52,0.045,1,,
MQ_223_bark,181.2,COER,Waratah2003,9,COER_80X,bark,bark,bark,live,use,61,37,0.207,5.4,97,0.03,0.176,13,1317,52,0.078,4,48.2,0.628
MQ_224_shed_bark,151,COER,Waratah2003,9,COER_80X,shed_bark,shed_bark,bark,dead,use,216,32,0.427,38.6,207,0.131,0.205,46,660,65,0.085,183,46.9,0.525
MQ_225_shed_sapwood,145,COER,Waratah2003,9,COER_80X,shed_sapwood,shed_sapwood,sapwood,dead,use,75,22,0.092,1.9,16,0.096,0.143,10,815,16,0.056,118,45.4,0.415
MQ_226_wood_from_base,275.4,COER,Waratah2003,9,COER_801,wood_from_base,wood_from_base,wood_from_base,mixed,use,87,23,0.087,0.8,36,0.133,0.15,9,1397,70,0.081,54,44.4,0.267
MQ_227_wood_from_middle,109.4,COER,Waratah2003,9,COER_801,wood_from_middle,wood_from_middle,wood_from_middle,mixed,insufficient_sample_for_CN,48,29,0.063,5.4,14,0.089,0.15,4,769,58,0.065,81,,
MQ_228_wood_from_tip,162.8,COER,Waratah2003,9,COER_80X,wood_from_tip,wood_from_tip,sapwood,live,use,25,8,0.074,15.5,21,0.098,0.107,9,995,181,0.043,16,43.7,0.341
MQ_229_bark,132.3,EPMI,Wilunga2012,1.4,EPMI_30X,bark,bark,bark,live,use,344,5,1.381,6.6,473,0.399,0.166,2486,211,151,0.175,8,44.8,0.793
MQ_230_wood_from_base,139.3,EPMI,Wilunga2012,1.4,EPMI_30A,wood_from_base,wood_from_base,wood_from_base,mixed,use,21,29,0.087,2.2,15,0.106,0.038,259,104,14,0.044,1,43.2,0.477
MQ_231_wood_from_tip,115.9,EPMI,Wilunga2012,1.4,EPMI_30A,wood_from_tip,wood_from_tip,sapwood,live,use,0,1,0.251,3.5,11,0.197,0.084,140,54,49,0.082,1,44.3,0.356
MQ_232_bark,100.3,EPMI,Wilunga2012,1.4,EPMI_30B,bark,bark,bark,live,insufficient_sample_for_CN,241,22,1.605,7,286,0.353,0.125,1149,284,146,0.112,19,,
MQ_233_wood_from_base,107.9,EPMI,Wilunga2012,1.4,EPMI_30B,wood_from_base,wood_from_base,wood_from_base,mixed,insufficient_sample_for_CN,34,17,0.17,2.5,14,0.184,0.033,246,105,41,0.048,23,,
MQ_234_wood_from_tip,118.1,EPMI,Wilunga2012,1.4,EPMI_30B,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,1,9,0.384,6.1,11,0.28,0.078,124,105,86,0.073,2,,
MQ_235_bark,151.8,EPMI,Wilunga2012,1.4,EPMI_30C,bark,bark,bark,live,use,488,17,1.164,5.4,524,0.463,0.163,686,205,140,0.134,4,45.2,0.813
MQ_236_wood_from_base,125,EPMI,Wilunga2012,1.4,EPMI_30C,wood_from_base,wood_from_base,wood_from_base,mixed,insufficient_sample_for_CN,2,2,0.083,2.2,9,0.22,0.06,76,45,41,0.048,2,,
MQ_237_wood_from_tip,114,EPMI,Wilunga2012,1.4,EPMI_30C,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,28,5,0.215,3.5,16,0.28,0.068,71,59,47,0.069,23,,
MQ_238_shed_bark,SKIPPED,EPMI,Wilunga2012,1.4,EPMI_xxx,shed_bark,shed_bark,bark,dead,no_sample,,,,,,,,,,,,,,
MQ_239_shed_sapwood,SKIPPED,EPMI,Wilunga2012,1.4,EPMI_xxx,shed_sapwood,shed_sapwood,sapwood,dead,no_sample,,,,,,,,,,,,,,
MQ_240_bark,125.8,EPMI,Waratah2011,2.4,EPMI_15A,bark,bark,bark,live,use,452,33,2.225,6.5,520,0.418,0.085,2355,318,153,0.152,36,45.1,0.964
MQ_241_wood_from_base,141.2,EPMI,Waratah2011,2.4,EPMI_15A,wood_from_base,wood_from_base,wood_from_base,mixed,use,27,26,0.098,1.6,27,0.215,0.02,454,170,54,0.038,20,44.7,0.249
MQ_242_wood_from_middle,126.8,EPMI,Waratah2011,2.4,EPMI_15A,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,28,23,0.07,1.9,30,0.288,0.018,159,213,63,0.04,18,44.4,0.242
MQ_243_wood_from_tip,110.6,EPMI,Waratah2011,2.4,EPMI_15A,wood_from_tip,wood_from_tip,sapwood,live,insufficient_sample_for_CN,23,55,0.108,2.7,34,0.314,0.034,119,514,79,0.055,5,,
MQ_244_bark,178,EPMI,Waratah2011,2.4,EPMI_15B,bark,bark,bark,live,use,83,22,0.49,5.1,126,0.307,0.077,1493,423,101,0.078,8,44.8,1.029
MQ_245_wood_from_base,219.9,EPMI,Waratah2011,2.4,EPMI_15B,wood_from_base,wood_from_base,wood_from_base,mixed,use,31,22,0.192,1.7,24,0.169,0.025,508,266,54,0.043,18,44.4,0.271
MQ_246_wood_from_middle,139.7,EPMI,Waratah2011,2.4,EPMI_15B,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,16,28,0.069,2,24,0.263,0.026,117,238,56,0.035,10,44.2,0.238
MQ_247_wood_from_tip,161,EPMI,Waratah2011,2.4,EPMI_15B,wood_from_tip,wood_from_tip,sapwood,live,use,15,15,0.137,5.3,28,0.38,0.044,131,319,79,0.057,16,44,0.316
MQ_248_shed_bark,SKIPPED,EPMI,Waratah2011,2.4,EPMI_155,shed_bark,shed_bark,bark,dead,no_sample,,,,,,,,,,,,,,
MQ_249_shed_sapwood,SKIPPED,EPMI,Waratah2011,2.4,EPMI_155,shed_sapwood,shed_sapwood,sapwood,dead,no_sample,,,,,,,,,,,,,,
MQ_250_bark,182.2,EPMI,Waratah2011,2.4,EPMI_15C,bark,bark,bark,live,use,129,24,0.604,5.1,213,0.554,0.056,1253,760,159,0.103,15,44.9,1.018
MQ_251_wood_from_base,205.7,EPMI,Waratah2011,2.4,EPMI_15C,wood_from_base,wood_from_base,wood_from_base,mixed,use,95,26,0.065,3.4,30,0.178,0.018,163,198,46,0.043,28,44.7,0.261
MQ_252_wood_from_middle,136.8,EPMI,Waratah2011,2.4,EPMI_15C,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,60,27,0.07,3.5,31,0.283,0.021,82,284,61,0.058,24,44.8,0.223
MQ_253_wood_from_tip,163.8,EPMI,Waratah2011,2.4,EPMI_15C,wood_from_tip,wood_from_tip,sapwood,live,use,29,48,0.318,7.1,28,0.322,0.062,139,590,133,0.069,11,44.2,0.296
MQ_254_bark,121.1,EPMI,Basin2005,7,EPMI_00X,bark,bark,bark,live,use,172,31,0.532,135,253,0.111,0.058,1311,377,63,0.085,81,45.9,0.59
MQ_255_wood_from_base,273.9,EPMI,Basin2005,7,EPMI_00A,wood_from_base,wood_from_base,wood_from_base,mixed,use,28,20,0.112,1.2,26,0.142,0.016,698,116,41,0.036,17,44.6,0.141
MQ_256_wood_from_middle,254.6,EPMI,Basin2005,7,EPMI_00A,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,15,37,0.118,1.8,16,0.209,0.016,399,233,40,0.045,9,43.6,0.196
MQ_257_wood_from_tip,129,EPMI,Basin2005,7,EPMI_00X,wood_from_tip,wood_from_tip,sapwood,live,use,27,84,0.175,3.7,36,0.264,0.038,197,537,88,0.058,18,44.3,0.264
MQ_258_shed_bark,178.1,EPMI,Basin2005,7,EPMI_00X,shed_bark,shed_bark,bark,dead,use,274,29,0.62,8.2,489,0.063,0.053,992,214,61,0.137,21,44.8,0.865
MQ_259_shed_sapwood,195.5,EPMI,Basin2005,7,EPMI_00X,shed_sapwood,shed_sapwood,sapwood,dead,use,12,22,0.221,3.3,24,0.028,0.02,393,119,20,0.07,9,44.3,0.338
MQ_260_bark,218.5,EPMI,Basin2005,7,EPMI_00Y,bark,bark,bark,live,use,330,45,0.691,4.8,572,0.172,0.053,2476,289,122,0.123,17,45.2,1.136
MQ_261_wood_from_base,127.6,EPMI,Basin2005,7,EPMI_005,wood_from_base,wood_from_base,wood_from_base,mixed,use,16,56,0.048,0.9,34,0.13,0.02,448,194,58,0.028,15,44.6,0.273
MQ_262_wood_from_middle,111.5,EPMI,Basin2005,7,EPMI_005,wood_from_middle,wood_from_middle,wood_from_middle,mixed,insufficient_sample_for_CN,26,77,0.15,2,23,0.204,0.03,1010,580,67,0.057,15,,
MQ_263_wood_from_tip,197.5,EPMI,Basin2005,7,EPMI_00Y,wood_from_tip,wood_from_tip,sapwood,live,use,16,48,0.229,5.3,24,0.241,0.045,184,975,87,0.057,12,44.1,0.304
MQ_264_bark,115.5,EPMI,Basin2005,7,EPMI_007,bark,bark,bark,live,insufficient_sample_for_CN,228,59,0.705,5.5,248,0.24,0.05,1058,352,102,0.094,18,,
MQ_265_wood_from_base,187.6,EPMI,Basin2005,7,EPMI_007,wood_from_base,wood_from_base,wood_from_base,mixed,use,21,38,0.163,2.7,28,0.381,0.041,1180,318,107,0.113,16,44.4,0.257
MQ_266_wood_from_middle,118.6,EPMI,Basin2005,7,EPMI_007,wood_from_middle,wood_from_middle,wood_from_middle,mixed,insufficient_sample_for_CN,21,66,0.136,1.6,29,0.216,0.031,302,252,71,0.042,15,,
MQ_267_wood_from_tip,174.7,EPMI,Basin2005,7,EPMI_00Z,wood_from_tip,wood_from_tip,sapwood,live,use,17,51,0.111,4.3,34,0.29,0.028,124,540,79,0.066,9,44.3,0.312
MQ_268_shed_bark,140.6,EPMI,Waratah2003,9,EPMI_80X,shed_bark,shed_bark,bark,dead,use,203,34,0.405,12.4,406,0.065,0.073,404,277,74,0.155,33,45.3,0.564
MQ_269_shed_sapwood,165.6,EPMI,Waratah2003,9,EPMI_80X,shed_sapwood,shed_sapwood,sapwood,dead,use,22,23,0.44,3.4,25,0.041,0.056,604,109,39,0.112,12,44.4,0.286
MQ_270_bark,193,EPMI,Waratah2003,9,EPMI_80X,bark,bark,bark,live,use,231,34,0.564,23.8,217,0.114,0.048,719,247,56,0.109,21,45,0.631
MQ_271_wood_from_base,311.1,EPMI,Waratah2003,9,EPMI_802,wood_from_base,wood_from_base,wood_from_base,mixed,use,19,47,0.153,2.6,19,0.33,0.031,732,712,68,0.136,11,44,0.207
MQ_272_wood_from_middle,134.2,EPMI,Waratah2003,9,EPMI_802,wood_from_middle,wood_from_middle,wood_from_middle,mixed,use,21,63,0.072,1.2,25,0.186,0.019,174,403,54,0.046,13,45.2,0.21
