"group","n","r2","pval","Slope","Slope_lowCI","Slope_highCI","Int","Int_lowCI","Int_highCI","Slope_test","Slope_test_p","Elev_test","Elev_test_p","linetype","linewidth"
"BAER",6,0.299680487049217,0.260880956664462,-1.02990598930303,-2.77516957966937,-0.382213164403678,8.33909306283198,2.5435428498616,14.1346432758024,NA,NA,NA,NA,3,1
"BOLE",24,0.0445255882979224,0.322293209997538,0.816051503942772,0.536312882398358,1.24170065449336,-0.403647891795574,-1.46314141021835,0.6558456266272,NA,NA,NA,NA,3,1
"COER",14,0.191689509999752,0.117413712142116,-0.470512471597215,-0.806596542753769,-0.27446433773781,2.46447957681743,1.8229675039491,3.10599164968577,NA,NA,NA,NA,3,1
"EPMI",28,0.112304364274854,0.0812911864096898,0.541891511316432,0.373844095815066,0.785478260387101,-1.64276595976802,-2.13426073657966,-1.15127118295638,NA,NA,NA,NA,2,1.5
"GRBU",12,0.0401335239534918,0.532438409466461,0.899286496733106,0.471956561036056,1.71353948641201,-0.300619655394907,-2.49498698575218,1.89374767496237,NA,NA,NA,NA,3,1
"GRSP",12,0.0160752304005818,0.694573989118287,-1.04344739836889,-2.00231893477942,-0.543760763708074,6.03941458488556,3.65865406919462,8.4201751005765,NA,NA,NA,NA,3,1
"HATE",12,0.0128147199409359,0.726122051234573,0.510328355322352,0.265690017929538,0.980221358241186,1.41664302989327,-0.112872754828859,2.9461588146154,NA,NA,NA,NA,3,1
"HEPU",17,0.0603390901938488,0.341946218044716,0.564567761566095,0.338697974904978,0.941064845425111,-0.389663540399538,-1.02894068039693,0.249613599597854,NA,NA,NA,NA,3,1
"LEES",23,0.00565172955819212,0.733165458728222,0.63771804768503,0.411391502564084,0.988557872023268,-0.411113178456155,-1.15796260501962,0.335736248107311,NA,NA,NA,NA,3,1
"PELA",6,0.00557931181203279,0.88816618616966,-0.469483337447446,-1.45168677165726,-0.15183344537139,4.65002045272075,2.25333705967513,7.04670384576637,NA,NA,NA,NA,3,1
"PEPU",9,0.00398720347422803,0.871790124747955,-1.66151563176074,-3.70843300212688,-0.74442067390782,7.92863069966211,2.76815422978212,13.0891071695421,NA,NA,NA,NA,3,1
"PHPH",19,0.00330138038046644,0.815263311583433,1.34781670187706,0.824961807672894,2.20205328896759,-1.63430209490662,-3.62402952146421,0.355425331650968,NA,NA,NA,NA,3,1
"PILI",13,0.0430418830908811,0.496431926529828,-0.644095191782568,-1.18605248155814,-0.349780994119598,2.35635334072882,1.4467546659922,3.26595201546545,NA,NA,NA,NA,3,1
"PUTU",28,0.0499970470404969,0.252709847993486,0.825039865152629,0.562269851531183,1.21061226604521,-0.196997786064286,-1.06855766378859,0.674562091660022,NA,NA,NA,NA,3,1
