"group","n","r2","pval","Slope","Slope_lowCI","Slope_highCI","Int","Int_lowCI","Int_highCI","Slope_test","Slope_test_p","Elev_test","Elev_test_p","linetype","linewidth"
"BAER",6,0.00623781625707301,0.881776560150557,-0.679318909684615,-2.09995430458342,-0.219754391820749,7.11557370237907,1.88319477951123,12.3479526252469,NA,NA,NA,NA,3,1
"BOLE",24,0.00186835980844118,0.841054335562479,-1.21274851515317,-1.86151938671389,-0.790085223663736,6.04003629513266,4.24118727609134,7.83888531417398,NA,NA,NA,NA,3,1
"COER",14,0.00128019346162167,0.903349329315855,0.332041380379389,0.18347787259957,0.60089795419019,0.258822262441637,-0.435472418847086,0.95311694373036,NA,NA,NA,NA,3,1
"EPMI",28,0.226809970901659,0.0104098003754528,0.573100156956541,0.404892796117592,0.811187042725804,-2.22194102439834,-2.87862429679634,-1.56525775200035,NA,NA,NA,NA,1,2
"GRBU",12,0.160431359474495,0.196957798855499,0.76359695326067,0.415922985744871,1.40189488682562,-0.590214645358222,-2.82769734704692,1.64726805633047,NA,NA,NA,NA,3,1
"GRSP",12,0.189234027184136,0.157565570306565,0.813498550666806,0.447292626668486,1.47952336452771,-0.939213395307342,-3.22881785971183,1.35039106909715,NA,NA,NA,NA,3,1
"HATE",12,0.0322259740770802,0.576662608575363,0.44104286631447,0.230925153019982,0.842345701120103,1.157764718688,-0.533978936662337,2.84950837403835,NA,NA,NA,NA,3,1
"HEPU",17,0.119804922852985,0.173534264469059,0.778997210633096,0.474492822573911,1.27891640358715,-1.5384534176632,-2.74041669707756,-0.336490138248845,NA,NA,NA,NA,3,1
"LEES",23,0.0707498396129617,0.219918114730601,0.884496404282326,0.578495075771612,1.35236049873867,-1.74034650544739,-3.02417969589549,-0.456513314999294,NA,NA,NA,NA,3,1
"PELA",6,0.0750539631198285,0.599341208107975,-1.0145975750558,-3.04703912786738,-0.337838864586422,8.16810267841575,1.19943540332994,15.1367699535016,NA,NA,NA,NA,3,1
"PEPU",9,0.0623548667455874,0.516993159140342,0.741508113998005,0.338910477373239,1.62235846878039,-0.785961881807554,-3.35314830455077,1.78122454093566,NA,NA,NA,NA,3,1
"PHPH",19,0.0276404766934612,0.496348985082347,-1.29446049106234,-2.10307825985442,-0.796750170883956,7.31956205739661,4.71343984249485,9.92568427229837,NA,NA,NA,NA,3,1
"PILI",13,0.000859621985111811,0.92425160297729,-0.672041280033139,-1.25224354471024,-0.360664252554073,2.8543712186,1.59625830670807,4.11248413049192,NA,NA,NA,NA,3,1
"PUTU",28,0.0698523684840317,0.174123626667254,0.773513330223098,0.529184730948472,1.13065029476651,-0.820408815791313,-1.92180546255174,0.280987830969113,NA,NA,NA,NA,3,1
