"","species","age","age2","replicate","site","tag_ID","d_start","d_end","length_start","new_length","segment","lvs_start_length","lvs_start_count","lvs_end_length","lvs_end_count","lvs_new_length","lvs_new_count","new_but_shed_count","mm_lvs_spec","count_lvs_spec","notes","dont_use","count_per_length","leaf_start_total","leaf_end_total","leaf_new_total","LL_bd","LL_death","LL_birth"
"1","GRBU",7,7,"7","Basin2005","GRBU_007",129,194,83,87,"3",243,0,110,0,0,44,0,110,52,"","",0.472727272727273,114.872727272727,52,44,1.35347043701799,1.82706766917293,2.61074380165289
"2","GRBU",7,7,"9","Basin2005","GRBU_009",99,110,55,40,"N/A - above highest cut",208,3,85,2,0,17,0,85,58,"","",0.682352941176471,144.929411764706,60,17,1.55121828369955,1.70646904003325,8.52525951557094
"3","GRBU",9,9,"801","Waratah2003","GRBU_801",141,279,124,88,"3",328,44,0,57,0,54,0,80,43,"","",0.5375,220.3,57,54,1.15764582238571,1.34905082669933,4.07962962962963
"4","GRSP",7,7,"6","Basin2005","GRSP_006",195,287,232,192,"3",232,0,90,0,192,0,0,282,108,"","",0.382978723404255,88.8510638297872,34.468085106383,73.531914893617,0.974789915966386,1.63380281690141,1.20833333333333
"5","GRSP",7,7,"9","Basin2005","GRSP_009",84,179,25,106,"N/A - bn 3&4",25,133,25,82,0,53,0,292,131,"","",0.448630136986301,144.215753424658,93.2157534246575,53,1.8608484312859,2.82775987107172,2.72105195140863
"6","GRSP",1.4,1.4,"114","Waratah2011","GRSP_114",223,603.6666667,185,301,"1",0,39,0,24,56,86,0,205,72,"","",0.351219512195122,39,24,105.668292682927,0.574931684165109,2.6,0.369079494044871
"7","GRSP",5,5,"403","Basin2007","GRSP_403",210,302,190,86,"1.2",170,0,110,0,0,32,0,110,37,"","",0.336363636363636,57.1818181818182,37,32,1.58040201005025,2.83333333333333,1.78693181818182
"8","GRSP",5,5,"407","Basin2007","GRSP_407",94,141,47,93,"3",95,55,0,49,0,41,0,170,77,"","",0.452941176470588,98.0294117647059,49,41,1.40989847715736,1.999400119976,2.3909612625538
"9","GRSP",5,5,"408","Basin2007","GRSP_408",146,214,110,73,"N/A - bn 2&3",85,60,50,54,73,0,0,110,54,"count of new leaves in bag 3x","",0.490909090909091,101.727272727273,78.5454545454545,35.8363636363636,2.47511612475116,4.38823529411765,2.83866057838661
"10","GRSP",9,9,"806","Waratah2003","GRSP_806",219,279,222,57,"N/A - bn 2&3",0,137,0,15,0,25,0,122,51,"","",0.418032786885246,137,15,25,1.0185873605948,1.12295081967213,5.48
