"","species","age","age2","replicate","site","tag_ID","d_start","d_end","length_start","new_length","segment","lvs_start_length","lvs_start_count","lvs_end_length","lvs_end_count","lvs_new_length","lvs_new_count","new_but_shed_count","mm_lvs_spec","count_lvs_spec","notes","dont_use","count_per_length","leaf_start_total","leaf_end_total","leaf_new_total","LL_bd","LL_death","LL_birth"
"11","GRSP",9,9,"807","Waratah2003","GRSP_807",270,289,225,86,"N/A - bn 3&4",338,77,0,29,0,26,0,86,26,"","",0.302325581395349,179.186046511628,29,26,1.0980475986889,1.19309383710127,6.891771019678
"12","HATE",7,7,"4","Basin2005","HATE_004",426,541,680,415,"4",0,172,0,113,0,59,0,1438,247,"","",0.171766342141864,172,113,59,1.94350282485876,2.91525423728814,2.91525423728814
"13","HATE",7,7,"6","Basin2005","HATE_006",210,445,370,435,"4",252.5,93,0,67,0,60,0,1025,148,"","",0.144390243902439,129.458536585366,67,60,1.40017938166086,2.07271165260856,2.15764227642276
"14","HATE",2.4,2.4,"151","Waratah2011","HATE_151",242,353.33,255,245,"1",0,32,0,23,0,34,0,245,34,"","",0.138775510204082,32,23,34,1.23076923076923,3.55555555555556,0.941176470588235
"15","HATE",2.4,2.4,"153","Waratah2011","HATE_153",237,630,290,715,"2",0,100,0,87,0,91,0,715,91,"","",0.127272727272727,100,87,91,1.70940170940171,7.69230769230769,1.0989010989011
"16","HATE",2.4,2.4,"154","Waratah2011","HATE_154",145,476,117,691,"2",0,58,0,50,0,104,0,682,104,"","",0.152492668621701,58,50,104,0.966666666666667,7.25,0.557692307692308
"17","HATE",2.4,2.4,"155","Waratah2011","HATE_155",191,462,210,315,"3",0,60,0,45,0,38,0,525,59,"","",0.112380952380952,60,45,38,1.76470588235294,4,1.57894736842105
"18","HATE",2.4,2.4,"156","Waratah2011","HATE_156",219.33,421.33,197,386,"1",0,27,0,20,0,50,0,556,76,"","",0.136690647482014,27,20,50,0.84375,3.85714285714286,0.54
"19","HATE",2.4,2.4,"157","Waratah2011","HATE_157",259.67,441.33,250,466,"1",0,38,0,33,0,71,0,661,105,"","",0.158850226928896,38,33,71,0.938271604938272,7.6,0.535211267605634
"20","HATE",2.4,2.4,"161","Waratah2011","HATE_161",179,271,118,234,"2",0,17,0,13,0,24,0,352,41,"","",0.116477272727273,17,13,24,1.0625,4.25,0.708333333333333
"21","HATE",5,5,"401","Basin2007","HATE_401",188,355,202,410,"3",130,44,0,44,0,71,0,702,115,"","",0.163817663817664,65.2962962962963,44,71,1.14965764590805,3.06608695652174,0.919666145018258
"22","HATE",5,5,"402","Basin2007","HATE_402",210,406,145,365,"N/A - bn 2&3",111,36,0,15,0,60,0,510,87,"","",0.170588235294118,54.9352941176471,15,60,0.785516023214736,1.37560760053027,0.915588235294118
"23","HATE",5,5,"404","Basin2007","HATE_404",212,348,225,322,"2",130,46,0,54,0,68,0,607,127,"","",0.209225700164745,73.1993410214168,54,68,1.37594450637929,3.8125965333791,1.07646089737378
"24","HATE",5,5,"407","Basin2007","HATE_407",155,283,141,105,"3",0,42,0,42,0,18,0,373,60,"","",0.160857908847185,42,42,18,4.66666666666667,NA,2.33333333333333
"25","HATE",9,9,"806","Waratah2003","HATE_806",435,621,455,240,"N/A - bn 2&3",0,84,0,47,0,37,0,629,116,"","",0.184419713831479,84,47,37,1.51351351351351,2.27027027027027,2.27027027027027
"26","HATE",9,9,"807","Waratah2003","HATE_807",480,622,430,130,"4",0,118,0,68,0,23,0,580,122,"","",0.210344827586207,118,68,23,1.91869918699187,2.36,5.1304347826087
"27","HATE",32,32,"901","Basin1981","HATE_901",241,384,475,250,"5",0,67,0,28,0,24,10,1015,91,"","",0.0896551724137931,67,28,34,1.19642857142857,1.71794871794872,1.97058823529412
"28","HATE",32,32,"902","Basin1981","HATE_902",214,403,395,110,"5",320,59,0,92,0,20,0,835,119,"","",0.14251497005988,104.604790419162,92,20,4.62754966887417,8.29881235154394,5.23023952095808
"29","HATE",32,32,"903","Basin1981","HATE_903",465,607,687,165,"5",0,95,0,44,0,50,0,852,145,"","",0.17018779342723,95,44,50,1.25,1.86274509803922,1.9
"30","HATE",32,32,"904","Basin1981","HATE_904",287,407,445,15,"4",365,83,0,65,0,10,0,460,74,"","",0.160869565217391,141.717391304348,65,10,1.7342378292099,1.84726551431,14.1717391304348
"31","HATE",32,32,"905","Basin1981","HATE_905",159,272,290,140,"5",0,65,0,52,0,19,0,530,70,"","",0.132075471698113,65,52,19,2.88888888888889,5,3.42105263157895
"32","HATE",32,32,"906","Basin1981","HATE_906",222,342,370,340,"6",0,122,0,84,0,39,0,1333,161,"","",0.120780195048762,122,84,39,2.12173913043478,3.21052631578947,3.12820512820513
"33","HATE",32,32,"907","Basin1981","HATE_907",505,721,565,180,"6",0,97,0,87,0,35,0,745,132,"","",0.177181208053691,97,87,35,3.52727272727273,9.7,2.77142857142857
"34","HEPU",7,7,"1","Basin2005","HEPU_001",74,65,73,30,"3",161,5,0,0,42,22,0,70,40,"","",0.571428571428571,97,0,46,0.808333333333333,1,2.10869565217391
"35","HEPU",7,7,"6","Basin2005","HEPU_006",56,87,78,25,"3",183,0,95,18,0,12,0,50,30,"","",0.6,109.8,75,12,2.69117647058824,3.1551724137931,9.15
"36","HEPU",7,7,"7","Basin2005","HEPU_007",75,97,52,40,"N/A - above highest cut",244,14,0,59,0,28,0,120,78,"","",0.65,172.6,59,28,1.35266457680251,1.5193661971831,6.16428571428571
"37","HEPU",7,7,"9","Basin2005","HEPU_009",55,61,55,21,"3",97,0,0,13,0,22,0,60,35,"","",0.583333333333333,56.5833333333333,13,22,1.03664122137405,1.29827915869981,2.5719696969697
"38","HEPU",5,5,"402","Basin2007","HEPU_402",87,115,142,83,"2",142,30,0,34,83,0,0,50,34,"","",0.68,126.56,34,56.44,1.04785560523265,1.36732929991357,2.24238128986534
"39","LEES",2.4,2.4,"156","Waratah2011","LEES_156",110.33,243.33,158,208,"1",141,0,120,0,145,13,2,63,15,"","",0.238095238095238,33.5714285714286,28.5714285714286,49.5238095238095,1.128,6.71428571428571,0.677884615384615
"40","LEES",5,5,"405","Basin2007","LEES_405",68,109,34,10,"3",54,0,26,0,6,0,0,34,28,"","",0.823529411764706,44.4705882352941,21.4117647058824,4.94117647058824,1.74193548387097,1.92857142857143,9
"41","LEES",5,5,"406","Basin2007","LEES_406",103,142,60,92,"2",40,0,0,2,0,47,0,92,47,"","",0.510869565217391,20.4347826086957,2,47,0.48729911871436,1.10849056603774,0.434782608695652
"42","LEES",32,32,"901","Basin1981","LEES_901",159,197,166,34,"N/A - bn 3&4",0,50,0,0,27,14,0,27,14,"","",0.518518518518518,50,0,28,0.78125,1,1.78571428571429
"43","LEES",32,32,"905","Basin1981","LEES_905",94,127,82,66,"3",82,6,0,15,66,0,0,56,15,"","",0.267857142857143,27.9642857142857,15,17.6785714285714,1.28255528255528,2.15702479338843,1.58181818181818
"44","PHPH",7,7,"4","Basin2005","PHPH_004",169,269,132,183,"N/A - bn 2&3",276,0,180,47,173,0,0,25,47,"","",1.88,518.88,385.4,325.24,1.75238095238095,3.88732394366197,1.59537572254335
"45","PHPH",9,9,"803","Waratah2003","PHPH_803",101,135,90,104,"4",195,0,90,42,104,0,0,28,42,"","",1.5,292.5,177,156,1.51162790697674,2.53246753246753,1.875
"46","PILI",5,5,"402","Basin2007","PILI_402",64,95,57,40,"3",129,5,0,36,0,32,0,40,32,"","",0.8,108.2,36,32,1.22675736961451,1.49861495844875,3.38125
"47","PILI",5,5,"407","Basin2007","PILI_407",78,130,76,108,"N/A - bn 2&3",0,64,0,30,0,76,0,80,72,"","",0.9,64,30,76,0.888888888888889,1.88235294117647,0.842105263157895
"48","BAER",7,7,"1","Basin2005","BAER_001",130,262,117,70,"N/A - bn 4&5",235,100,177,0,70,0,0,0,0,"","",1.37652946717336,423.48442478574,243.645715689685,96.3570627021353,1.85724739039611,2.35480129341648,4.39494950250653
"49","BAER",7,7,"2","Basin2005","BAER_002",179,337,188,128,"3",365,0,188,30,128,0,0,0,0,"","",1.37652946717336,502.433255518277,288.787539828592,176.19577179819,1.6650999486743,2.35171229105314,2.8515625
"50","BAER",7,7,"3","Basin2005","BAER_003",184,315,263,184,"4",559,0,300,4,184,0,0,0,0,"","",1.37652946717336,769.479972149909,416.958840152009,253.281421959899,1.60588741241961,2.18279105081987,3.03804347826087
"51","BAER",7,7,"4","Basin2005","BAER_004",170,437,158,138,"5",330,0,158,32,138,0,0,0,0,"","",1.37652946717336,454.254724167209,249.491655813391,189.961066469924,1.51547763408276,2.21844069743224,2.39130434782609
"52","BAER",7,7,"5","Basin2005","BAER_005",109,260,70,82,"5",351,0,195,14,82,0,0,0,0,"","",1.37652946717336,483.16184297785,282.423246098806,112.875416308216,1.87871834816029,2.40692049506045,4.28048780487805
"53","BAER",7,7,"6","Basin2005","BAER_006",156,265,156,114,"4",454,0,283,39,114,0,0,0,0,"","",1.37652946717336,624.944378096706,428.557839210061,156.924359257763,2.27377584829963,3.18221595858679,3.98245614035088
"54","BAER",7,7,"7","Basin2005","BAER_007",174,218,120,62,"5",320,90,120,64,62,0,0,0,0,"","",1.37652946717336,530.489429495476,229.183536060803,85.3448269647484,1.54221768881317,1.7606340966261,6.21583578480502
"55","BAER",1.4,1.4,"101","Waratah2011","BAER_101",222,318,185,110,"1",0,88,0,54,110,0,0,0,0,"counts of juvenile leaves","",1.37652946717336,88,54,151.41824138907,0.802121094790469,2.58823529411765,0.581171721403656
"56","BAER",1.4,1.4,"102","Waratah2011","BAER_102",100,239,68,62,"1",0,18,0,2,28,12,0,0,0,"counts of juvenile leaves","",1.37652946717336,18,2,50.5428250808541,0.43613724105925,1.125,0.356133634619852
"57","BAER",1.4,1.4,"103","Waratah2011","BAER_103",132,215,90,124,"1",0,22,0,12,124,0,0,0,0,"counts of juvenile leaves","",1.37652946717336,22,12,170.689653929497,0.230741411992221,2.2,0.128888889827424
"58","BAER",1.4,1.4,"104","Waratah2011","BAER_104",99,215,67,176,NA,0,32,0,17,141,22,0,0,0,"counts of juvenile leaves","",1.37652946717336,32,17,216.090654871444,0.260066762931055,2.13333333333333,0.148085996680594
"59","BAER",1.4,1.4,"105","Waratah2011","BAER_105",177,460,135,237,"1",0,43,0,20,237,0,0,0,0,"counts of juvenile leaves","",1.37652946717336,43,20,326.237483720087,0.231035303431908,1.8695652173913,0.131805822892179
"60","BAER",1.4,1.4,"106","Waratah2011","BAER_106",139,282,95,105,"1",77,0,0,3,80,6,0,0,0,"initial length = juv leaves","",1.37652946717336,105.992768972349,3,116.122357373869,0.658119658119658,1.02912825851692,0.912767974827563
"61","BAER",1.4,1.4,"107","Waratah2011","BAER_107",62,149,38,85,"2",0,22,0,10,81,2,0,0,0,"","",1.37652946717336,22,10,113.498886841042,0.320002590645456,1.83333333333333,0.193834500163966
"62","BAER",2.4,2.4,"151","Waratah2011","BAER_151",222,392,360,172,"2",360,40,280,3,172,0,0,0,0,"leaf counts are juvenile leaves","",1.37652946717336,535.55060818241,388.428250808541,236.763068353818,2.01711020149016,3.64017147184138,2.26196852366385
"63","BAER",2.4,2.4,"152","Waratah2011","BAER_152",194,414,280,161,"3",280,34,265,11,161,0,0,0,0,"leaf counts are juvenile leaves","",1.37652946717336,419.428250808541,375.780308800941,221.621244214911,2.71547423227442,9.60934769239534,1.8925453301842
"64","BAER",2.4,2.4,"153","Waratah2011","BAER_153",369,735,735,365,"2",885,0,670,0,365,0,0,0,0,"some of initial length (up to 150 mm worth, but probably less than that) would have been juvenile leaves","",1.37652946717336,1218.22857844842,922.274743006152,502.433255518277,2.22641509433962,4.11627906976744,2.42465753424658
"65","BAER",2.4,2.4,"154","Waratah2011","BAER_154",202,281,40,393,"3",485,0,310,4,393,0,0,0,0,"leaf counts are juvenile leaves","",1.37652946717336,667.61679157908,430.724134823742,540.976080599131,1.31581038745516,2.81822493243677,1.23409669211196
"66","BAER",2.4,2.4,"155","Waratah2011","BAER_155",182,456,285,269,"2",475,0,285,0,269,0,0,0,0,"some of initial length (up to 190 mm worth, but probably less than that) would have been juvenile leaves","",1.37652946717336,653.851496907347,392.310898144408,370.286426669634,1.46379044684129,2.5,1.76579925650558
"67","BAER",2.4,2.4,"156","Waratah2011","BAER_156",84,312,40,197,"3",427,0,250,0,197,0,0,0,0,"","",1.37652946717336,587.778082483025,344.13236679334,271.176305033152,1.54990925589837,2.41242937853107,2.16751269035533
"68","BAER",2.4,2.4,"157","Waratah2011","BAER_157",181,353,217,107,"3",217,62,55,3,107,0,0,0,0,"","",1.37652946717336,360.706894376619,78.7091206945349,147.28865298755,1.01424126726913,1.27911256059514,2.4489795178391
"69","BAER",1.4,1.35,"301","Wilunga2012","BAER_301",149,434.33,92,312,"1",0,30,0,6,312,0,0,0,0,"leaf counts = juvenile leaves","",1.37652946717336,30,6,429.477193758089,0.125660452026529,1.25,0.0698523703610164
"70","BAER",1.4,1.35,"302","Wilunga2012","BAER_302",168.33,694.67,123,460,"1",0,38,0,12,460,0,0,0,0,"leaf counts = juvenile leaves","",1.37652946717336,38,12,633.203554899746,0.110915945278655,1.46153846153846,0.0600122973188558
"71","BAER",1.4,1.35,"303","Wilunga2012","BAER_303",155,473.67,67,238,"1",0,24,0,6,238,0,0,0,0,"leaf counts = juvenile leaves","",1.37652946717336,24,6,327.61401318726,0.132008113711724,1.33333333333333,0.0732569396727298
"72","BAER",1.4,1.35,"306","Wilunga2012","BAER_306",146.67,326.67,52,156,"1",0,10,0,0,96,6,14,0,0,"leaf counts = juvenile leaves","",1.37652946717336,10,0,152.146828848643,0.116179892094235,1,0.0657259837465828
"73","BAER",1.4,1.35,"308","Wilunga2012","BAER_308",142.67,464.67,88,275,"1",0,23,0,13,256,7,0,0,0,"leaf counts = juvenile leaves","",1.37652946717336,23,13,359.391543596381,0.121246772039119,2.3,0.0639970539368908
"74","BAER",1.4,1.35,"309","Wilunga2012","BAER_309",127.67,448,41,204,"1",0,10,0,4,150,10,30,0,0,"leaf counts = juvenile leaves","",1.37652946717336,10,4,246.479420076004,0.0773755991642163,1.66666666666667,0.0405713385600973
"75","BAER",1.4,1.35,"311","Wilunga2012","BAER_311",196.67,505,106,204,"1",0,36,0,29,195,0,0,0,0,"leaf counts = juvenile leaves","",1.37652946717336,36,29,268.423246098806,0.254936521672904,5.14285714285714,0.134116551093151
"76","BAER",1.4,1.35,"315","Wilunga2012","BAER_315",194.33,507.33,100,274,"1",0,37,0,15,266,0,0,0,0,"leaf counts = juvenile leaves","",1.37652946717336,37,15,366.156838268114,0.180418788852734,1.68181818181818,0.101049594416989
"77","BAER",5,5,"401","Basin2007","BAER_401",119,183,110,50,"3",291,0,170,0,50,0,0,0,0,"","",1.37652946717336,400.570074947448,234.010009419471,68.8264733586681,1.99315068493151,2.40495867768595,5.82
"78","BAER",5,5,"402","Basin2007","BAER_402",93,150,89,77,"3",159,0,119,0,77,0,0,0,0,"","",1.37652946717336,218.868185280565,163.80700659363,105.992768972349,2.02547770700637,3.975,2.06493506493507
"79","BAER",5,5,"403","Basin2007","BAER_403",116,226,105,92,"3",190,5,160,0,92,0,0,0,0,"","",1.37652946717336,266.540598762939,220.244714747738,126.640710979949,2.43157948097968,5.75732820385118,2.10469916585623
"80","BAER",5,5,"404","Basin2007","BAER_404",155,188,136,45,"3",261,7,105,5,45,0,0,0,0,"","",1.37652946717336,366.274190932247,149.535594053203,61.9438260228013,1.47863807270123,1.68993523168674,5.91300561249516
"81","BAER",5,5,"405","Basin2007","BAER_405",174,293,210,135,"3",418,0,190,41,135,0,0,0,0,"","",1.37652946717336,575.389317278465,302.540598762939,185.831478068404,1.57311435105812,2.10882176910691,3.0962962962963
"82","BAER",5,5,"406","Basin2007","BAER_406",114,179,105,85,"3",170,15,105,0,85,0,0,0,0,"","",1.37652946717336,249.010009419471,144.535594053203,117.005004709736,1.52788513184145,2.38345444237699,2.12819964442728
"83","BAER",5,5,"407","Basin2007","BAER_407",95,166,81,57,"3",106,0,70,4,57,0,0,0,0,"","",1.37652946717336,145.912123520376,100.357062702135,78.4621796288816,1.72094289493705,3.2029838375707,1.85964912280702
"84","BAER",9,9,"801","Waratah2003","BAER_801",193,302,146,121,"5",489,40,0,66,121,0,0,0,0,"","",1.37652946717336,713.122909447774,66,166.560065527977,0.976341781001508,1.10198989872932,4.28147591793539
"85","BAER",9,9,"802","Waratah2003","BAER_802",125,309,133,160,"4",434,0,133,36,160,0,0,0,0,"","",1.37652946717336,597.413788753239,219.078419134057,220.244714747738,1.22306139454671,1.57905878415379,2.7125
"86","BAER",9,9,"803","Waratah2003","BAER_803",126,204,75,122,"5",380,7,75,39,122,0,0,0,0,"","",1.37652946717336,530.081197525877,142.239710038002,167.93659499515,1.1235061552236,1.36674702069476,3.15643649641215
"87","BAER",9,9,"804","Waratah2003","BAER_804",139,235,81,80,"5",401,7,81,16,80,0,0,0,0,"not longest new shoot, but others already shedding, assuming damaged; info for others on map","",1.37652946717336,558.988316336518,127.498886841042,110.122357373869,1.14888011017952,1.29548553944907,5.07606565702852
"88","BAER",9,9,"805","Waratah2003","BAER_805",116,183,78,70,"4",286,53,78,1,70,0,0,0,0,"","",1.37652946717336,446.687427611581,108.369298439522,96.3570627021353,1.15573424879528,1.32031773971063,4.63575180775703
"89","BAER",9,9,"806","Waratah2003","BAER_806",149,217,90,117,"5",446,33,48,25,117,0,0,0,0,"","",1.37652946717336,646.932142359319,91.0734144243214,161.053947659283,1.0165724034425,1.16384273529833,4.01686609835813
"90","BAER",9,9,"807","Waratah2003","BAER_807",144,211,127,55,"N/A - bn 3&4",262,48,237,21,55,0,0,0,0,"","",1.37652946717336,408.650720399421,347.237483720087,75.7091206945349,4.11664943355106,6.65411469083072,5.3976418778949
"91","BAER",32,32,"901","Basin1981","BAER_901",233,366,300,138,"N/A - above highest cut",430,19,250,0,138,0,0,0,0,"","",1.37652946717336,610.907670884545,344.13236679334,189.961066469924,1.68872926944296,2.2899708538077,3.21596252451693
"92","BAER",32,32,"902","Basin1981","BAER_902",167,298,155,135,"5",495,0,0,53,135,0,0,0,0,"","",1.37652946717336,681.382086250814,53,185.831478068404,0.944661223651368,1.08434358833528,3.66666666666667
"93","BAER",32,32,"903","Basin1981","BAER_903",227,318,135,145,"6",492,16,0,89,120,0,25,0,0,"","",1.37652946717336,693.252497849294,89,190.183536060803,0.99128931439405,1.14728942009636,3.64517619247365
"94","BAER",32,32,"904","Basin1981","BAER_904",163,301,175,135,"5",547,0,250,65,135,0,0,0,0,"","",1.37652946717336,752.961618543829,409.13236679334,185.831478068404,1.72403034821533,2.18992891009239,4.05185185185185
"95","BAER",32,32,"905","Basin1981","BAER_905",126,169,77,40,"n/A above 5",396,0,142,0,40,0,0,0,0,"","",1.37652946717336,545.105669000651,195.467184338617,55.0611786869345,1.44525547445255,1.55905511811024,9.9
"96","BAER",32,32,"906","Basin1981","BAER_906",176,220,168,147,"5",473,0,168,15,147,0,0,0,0,"","",1.37652946717336,651.098437973,246.256950485125,202.349831674484,1.28671409403831,1.60827992707269,3.21768707482993
"97","BAER",32,32,"907","Basin1981","BAER_907",143,321,102,145,"5",299,8,160,2,145,0,0,0,0,"","",1.37652946717336,419.582310684835,222.244714747738,199.596772740137,1.41208852400478,2.12621578109515,2.10214977388991
"98","BOLE",7,7,"1","Basin2005","BOLE_001",176,183,178,27,"N/A - bn 2&3",0,26,0,6,0,7,0,0,0,"","",0.245981591113861,26,6,7,1.1063829787234,1.3,3.71428571428571
"99","BOLE",7,7,"2","Basin2005","BOLE_002",147,159,127,145,"2",0,8,0,4,0,12,0,0,0,"","",0.245981591113861,8,4,12,0.8,2,0.666666666666667
"100","BOLE",7,7,"3","Basin2005","BOLE_003",206,236,325,8,"2",0,5,0,2,0,4,0,0,0,"","",0.245981591113861,5,2,4,1,1.66666666666667,1.25
"101","BOLE",7,7,"4","Basin2005","BOLE_004",130,153,189,49,"3",0,5,0,3,0,3,0,0,0,"","",0.245981591113861,5,3,3,1.42857142857143,2.5,1.66666666666667
"102","BOLE",7,7,"6","Basin2005","BOLE_006",115,172,128,84,"2",0,7,0,0,0,12,0,0,0,"","",0.245981591113861,7,0,12,0.538461538461538,1,0.583333333333333
"103","BOLE",7,7,"7","Basin2005","BOLE_007",150,161,102,28,"2",0,16,0,0,0,10,0,0,0,"leaf number approximate, because chose different leader following year; initial diameter also approx","",0.245981591113861,16,0,10,0.761904761904762,1,1.6
"104","BOLE",7,7,"8","Basin2005","BOLE_008",118,149,105,30,"3",0,16,0,5,0,8,0,0,0,"","",0.245981591113861,16,5,8,1.06666666666667,1.45454545454545,2
"105","BOLE",1.4,1.4,"101","Waratah2011","BOLE_101",60,167,30,103,"1",0,10,0,0,0,22,0,0,0,"","",0.245981591113861,10,0,22,0.476190476190476,1,0.454545454545455
"106","BOLE",1.4,1.4,"105","Waratah2011","BOLE_105",64,488,14,431,"1",0,6,0,0,0,75,0,0,0,"","",0.245981591113861,6,0,75,0.137931034482759,1,0.08
"107","BOLE",1.4,1.4,"110","Waratah2011","BOLE_110",166,259,110,201,"1",0,18,0,5,0,19,0,0,0,"","",0.245981591113861,18,5,19,0.8,1.38461538461538,0.947368421052632
"108","BOLE",1.4,1.4,"111","Waratah2011","BOLE_111",96,188,65,168,"1",0,14,0,5,0,26,0,0,0,"","",0.245981591113861,14,5,26,0.636363636363636,1.55555555555556,0.538461538461538
"109","BOLE",1.4,1.4,"112","Waratah2011","BOLE_112",97,186.6666667,90,203,"1",0,14,0,5,0,26,0,0,0,"","",0.245981591113861,14,5,26,0.636363636363636,1.55555555555556,0.538461538461538
"110","BOLE",1.4,1.4,"113","Waratah2011","BOLE_113",141,289.6666667,110,388,"1",0,14,0,4,0,24,0,0,0,"","",0.245981591113861,14,4,24,0.636363636363636,1.4,0.583333333333333
"111","BOLE",1.4,1.4,"114","Waratah2011","BOLE_114",108.6666667,298.6666667,105,230,"1",0,18,0,5,0,21,0,0,0,"","",0.245981591113861,18,5,21,0.765957446808511,1.38461538461538,0.857142857142857
"112","BOLE",1.4,1.4,"115","Waratah2011","BOLE_115",135.3333333,260.6666667,130,186,"1",0,20,0,7,0,20,0,0,0,"","",0.245981591113861,20,7,20,0.869565217391304,1.53846153846154,1
"113","BOLE",1.4,1.4,"116","Waratah2011","BOLE_116",151,294.3333333,230,350,"1",0,17,0,15,0,48,0,0,0,"","",0.245981591113861,17,15,48,0.653846153846154,8.5,0.354166666666667
"114","BOLE",1.4,1.4,"117","Waratah2011","BOLE_117",154.6666667,333.6666667,50,365,"2",0,30,0,15,0,46,0,0,0,"initial length approximate","",0.245981591113861,30,15,46,0.789473684210526,2,0.652173913043478
"115","BOLE",1.4,1.4,"119","Waratah2011","BOLE_119",96,353.3333333,65,325,"1",0,14,0,0,0,41,5,0,0,"","",0.245981591113861,14,0,46,0.378378378378378,1,0.304347826086957
"116","BOLE",2.4,2.4,"151","Waratah2011","BOLE_151",163,349,178,365,"2",0,121,0,55,0,29,0,0,0,"must be some leaves that grew and shed, because only 12 leaflets on new 135 mm length; also younger leaves are much small (single lobe) than older leaves","",0.245981591113861,121,55,29,1.50310559006211,1.83333333333333,4.17241379310345
"117","BOLE",2.4,2.4,"152","Waratah2011","BOLE_152",162,332,158,257,"2",0,38,0,6,0,8,2,0,0,"","",0.245981591113861,38,6,10,1.02702702702703,1.1875,3.8
"118","BOLE",2.4,2.4,"153","Waratah2011","BOLE_153",123,309,165,457,"N/A - bn 2&3",0,31,0,11,0,26,0,0,0,"","",0.245981591113861,31,11,26,0.939393939393939,1.55,1.19230769230769
"119","BOLE",2.4,2.4,"154","Waratah2011","BOLE_154",237,394,360,106,"2",0,69,0,34,0,13,0,0,0,"","",0.245981591113861,69,34,13,1.66265060240964,1.97142857142857,5.30769230769231
"120","BOLE",2.4,2.4,"155","Waratah2011","BOLE_155",252,418,168,225,"1",0,71,0,11,0,25,0,0,0,"","",0.245981591113861,71,11,25,0.979310344827586,1.18333333333333,2.84
"121","BOLE",2.4,2.4,"156","Waratah2011","BOLE_156",218,364,315,336,"1",0,33,0,3,0,16,0,0,0,"","",0.245981591113861,33,3,16,0.868421052631579,1.1,2.0625
"122","BOLE",2.4,2.4,"157","Waratah2011","BOLE_157",146,287,165,255,"2",0,31,0,8,0,8,2,0,0,"","",0.245981591113861,31,8,10,1.10714285714286,1.34782608695652,3.1
"123","BOLE",1.4,1.35,"303","Wilunga2012","BOLE_303",49.67,124,26,201,"1",0,8,0,0,0,13,4,0,0,"","",0.245981591113861,8,0,17,0.484848484848485,1,0.470588235294118
"124","BOLE",1.4,1.35,"305","Wilunga2012","BOLE_305",50,266,42,322,"1",0,8,0,0,0,26,2,0,0,"","",0.245981591113861,8,0,28,0.363636363636364,1,0.285714285714286
"125","BOLE",1.4,1.35,"306","Wilunga2012","BOLE_306",76,279,50,353,"1",0,8,0,1,0,33,0,0,0,"","",0.245981591113861,8,1,33,0.340425531914894,1.14285714285714,0.242424242424242
"126","BOLE",1.4,1.35,"307","Wilunga2012","BOLE_307",94.3,312,41,403,"1",0,10,0,0,0,40,0,0,0,"","",0.245981591113861,10,0,40,0.333333333333333,1,0.25
