"","species","age","age2","replicate","site","tag_ID","d_start","d_end","length_start","new_length","segment","lvs_start_length","lvs_start_count","lvs_end_length","lvs_end_count","lvs_new_length","lvs_new_count","new_but_shed_count","mm_lvs_spec","count_lvs_spec","notes","dont_use","count_per_length","lvs_start","lvs_end","lvs_new","LL_death","LL_bd","LL_birth"
"25","BAER",1.4,1.35,"306","Wilunga2012","BAER_306",146.67,326.67,52,156,"1",0,10,0,0,96,6,14,NA,NA,"leaf counts = juvenile leaves","",1.37652946717336,10,0,138.146828848643,1,0.126464755225294,0.0723867502666765
"26","BAER",1.4,1.35,"308","Wilunga2012","BAER_308",142.67,464.67,88,275,"1",0,23,0,13,256,7,0,NA,NA,"leaf counts = juvenile leaves","",1.37652946717336,23,13,359.391543596381,2.3,0.121246772039119,0.0639970539368908
"27","BAER",1.4,1.35,"309","Wilunga2012","BAER_309",127.67,448,41,204,"1",0,10,0,4,150,10,30,NA,NA,"leaf counts = juvenile leaves","",1.37652946717336,10,4,216.479420076004,1.66666666666667,0.0875352361860291,0.0461937675021906
"28","BAER",1.4,1.35,"311","Wilunga2012","BAER_311",196.67,505,106,204,"1",0,36,0,29,195,0,0,NA,NA,"leaf counts = juvenile leaves","",1.37652946717336,36,29,268.423246098806,5.14285714285714,0.254936521672904,0.134116551093151
"29","BAER",1.4,1.35,"315","Wilunga2012","BAER_315",194.33,507.33,100,274,"1",0,37,0,15,266,0,0,NA,NA,"leaf counts = juvenile leaves","",1.37652946717336,37,15,366.156838268114,1.68181818181818,0.180418788852734,0.101049594416989
"30","BAER",5,5,"401","Basin2007","BAER_401",119,183,110,50,"3",291,0,170,0,50,0,0,NA,NA,"","",1.37652946717336,400.570074947448,234.010009419471,68.8264733586681,2.40495867768595,1.99315068493151,5.82
"31","BAER",5,5,"402","Basin2007","BAER_402",93,150,89,77,"3",159,0,119,0,77,0,0,NA,NA,"","",1.37652946717336,218.868185280565,163.80700659363,105.992768972349,3.975,2.02547770700637,2.06493506493507
"32","BAER",5,5,"403","Basin2007","BAER_403",116,226,105,92,"3",190,5,160,0,92,0,0,NA,NA,"","",1.37652946717336,266.540598762939,220.244714747738,126.640710979949,5.75732820385118,2.43157948097968,2.10469916585623
"33","BAER",5,5,"404","Basin2007","BAER_404",155,188,136,45,"3",261,7,105,5,45,0,0,NA,NA,"","",1.37652946717336,366.274190932247,149.535594053203,61.9438260228013,1.68993523168674,1.47863807270123,5.91300561249516
"34","BAER",5,5,"405","Basin2007","BAER_405",174,293,210,135,"3",418,0,190,41,135,0,0,NA,NA,"","",1.37652946717336,575.389317278465,302.540598762939,185.831478068404,2.10882176910691,1.57311435105812,3.0962962962963
"35","BAER",5,5,"406","Basin2007","BAER_406",114,179,105,85,"3",170,15,105,0,85,0,0,NA,NA,"","",1.37652946717336,249.010009419471,144.535594053203,117.005004709736,2.38345444237699,1.52788513184145,2.12819964442728
"36","BAER",5,5,"407","Basin2007","BAER_407",95,166,81,57,"3",106,0,70,4,57,0,0,NA,NA,"","",1.37652946717336,145.912123520376,100.357062702135,78.4621796288816,3.2029838375707,1.72094289493705,1.85964912280702
"37","BAER",9,9,"801","Waratah2003","BAER_801",193,302,146,121,"5",489,40,0,66,121,0,0,NA,NA,"","",1.37652946717336,713.122909447774,66,166.560065527977,1.10198989872932,0.976341781001508,4.28147591793539
"38","BAER",9,9,"802","Waratah2003","BAER_802",125,309,133,160,"4",434,0,133,36,160,0,0,NA,NA,"","",1.37652946717336,597.413788753239,219.078419134057,220.244714747738,1.57905878415379,1.22306139454671,2.7125
"39","BAER",9,9,"803","Waratah2003","BAER_803",126,204,75,122,"5",380,7,75,39,122,0,0,NA,NA,"","",1.37652946717336,530.081197525877,142.239710038002,167.93659499515,1.36674702069476,1.1235061552236,3.15643649641215
"40","BAER",9,9,"804","Waratah2003","BAER_804",139,235,81,80,"5",401,7,81,16,80,0,0,NA,NA,"not longest new shoot, but others already shedding, assuming damaged; info for others on map","",1.37652946717336,558.988316336518,127.498886841042,110.122357373869,1.29548553944907,1.14888011017952,5.07606565702852
"41","BAER",9,9,"805","Waratah2003","BAER_805",116,183,78,70,"4",286,53,78,1,70,0,0,NA,NA,"","",1.37652946717336,446.687427611581,108.369298439522,96.3570627021353,1.32031773971063,1.15573424879528,4.63575180775703
"42","BAER",9,9,"806","Waratah2003","BAER_806",149,217,90,117,"5",446,33,48,25,117,0,0,NA,NA,"","",1.37652946717336,646.932142359319,91.0734144243214,161.053947659283,1.16384273529833,1.0165724034425,4.01686609835813
"43","BAER",9,9,"807","Waratah2003","BAER_807",144,211,127,55,"N/A - bn 3&4",262,48,237,21,55,0,0,NA,NA,"","",1.37652946717336,408.650720399421,347.237483720087,75.7091206945349,6.65411469083072,4.11664943355106,5.3976418778949
"44","BAER",32,32,"901","Basin1981","BAER_901",233,366,300,138,"N/A - above highest cut",430,19,250,0,138,0,0,NA,NA,"","",1.37652946717336,610.907670884545,344.13236679334,189.961066469924,2.2899708538077,1.68872926944296,3.21596252451693
"45","BAER",32,32,"902","Basin1981","BAER_902",167,298,155,135,"5",495,0,0,53,135,0,0,NA,NA,"","",1.37652946717336,681.382086250814,53,185.831478068404,1.08434358833528,0.944661223651368,3.66666666666667
"46","BAER",32,32,"903","Basin1981","BAER_903",227,318,135,145,"6",492,16,0,89,120,0,25,NA,NA,"","",1.37652946717336,693.252497849294,89,165.183536060803,1.14728942009636,1.00932996355643,4.19686195356728
"47","BAER",32,32,"904","Basin1981","BAER_904",163,301,175,135,"5",547,0,250,65,135,0,0,NA,NA,"","",1.37652946717336,752.961618543829,409.13236679334,185.831478068404,2.18992891009239,1.72403034821533,4.05185185185185
"48","BAER",32,32,"905","Basin1981","BAER_905",126,169,77,40,"n/A above 5",396,0,142,0,40,0,0,NA,NA,"","",1.37652946717336,545.105669000651,195.467184338617,55.0611786869345,1.55905511811024,1.44525547445255,9.9
"49","BAER",32,32,"906","Basin1981","BAER_906",176,220,168,147,"5",473,0,168,15,147,0,0,NA,NA,"","",1.37652946717336,651.098437973,246.256950485125,202.349831674484,1.60827992707269,1.28671409403831,3.21768707482993
"50","BAER",32,32,"907","Basin1981","BAER_907",143,321,102,145,"5",299,8,160,2,145,0,0,NA,NA,"","",1.37652946717336,419.582310684835,222.244714747738,199.596772740137,2.12621578109515,1.41208852400478,2.10214977388991
"51","BOLE",7,7,"1","Basin2005","BOLE_001",176,183,178,27,"N/A - bn 2&3",0,26,0,6,0,7,0,NA,NA,"","",0.245981591113861,26,6,7,1.3,1.1063829787234,3.71428571428571
"52","BOLE",7,7,"2","Basin2005","BOLE_002",147,159,127,145,"2",0,8,0,4,0,12,0,NA,NA,"","",0.245981591113861,8,4,12,2,0.8,0.666666666666667
"53","BOLE",7,7,"3","Basin2005","BOLE_003",206,236,325,8,"2",0,5,0,2,0,4,0,NA,NA,"","",0.245981591113861,5,2,4,1.66666666666667,1,1.25
"54","BOLE",7,7,"4","Basin2005","BOLE_004",130,153,189,49,"3",0,5,0,3,0,3,0,NA,NA,"","",0.245981591113861,5,3,3,2.5,1.42857142857143,1.66666666666667
"55","BOLE",7,7,"6","Basin2005","BOLE_006",115,172,128,84,"2",0,7,0,0,0,12,0,NA,NA,"","",0.245981591113861,7,0,12,1,0.538461538461538,0.583333333333333
"56","BOLE",7,7,"7","Basin2005","BOLE_007",150,161,102,28,"2",0,16,0,0,0,10,0,NA,NA,"leaf number approximate, because chose different leader following year; initial diameter also approx","",0.245981591113861,16,0,10,1,0.761904761904762,1.6
"57","BOLE",7,7,"8","Basin2005","BOLE_008",118,149,105,30,"3",0,16,0,5,0,8,0,NA,NA,"","",0.245981591113861,16,5,8,1.45454545454545,1.06666666666667,2
