"","individual","species","age","site","height","diameter","total_weight","total_inv","growth_inv","repro_inv","mature","reproducing","RA","RGR","stem_area","stem_weight","leaf_weight","leaf_area","shoot_diameter_start","shoot_diameter_end","shoot_leaf_count_start","shoot_leaf_count_new","shoot_leaf_area","growth_height","growth_stem","growth_stem_diameter","growth_stem_area","growth_leaf","growth_leaf_area","shoot_growth_leaf_area","growth_shoot_length","growth_shoot_diameter","growth_shoot_area","leaf_size","LMA","LL_bd","LL_death","LL_birth","wood_density","seed_size","fruit_weight","seedpod_weight","seedcosts","costs_per_seed","propagule_inv","accessory_inv","prepollen_aborted_inv","prepollen_success_inv","prepollen_all_inv","postpollen_aborted_inv","packaging_dispersal_inv","seedset","repro_all_count","bud_count","flower_count","aborted_fruit_count","seed_count","prepollen_all_count","prop_prepollen_count","prop_accessory","prop_propagule","prop_prepollen_aborted","prop_prepollen_success","prop_prepollen_all","prop_postpollen_aborted","prop_packaging_dispersal","propagule_per_seed","accessory_per_seed","prepollen_aborted_per_seed","prepollen_success_per_seed","prepollen_all_per_seed","postpollen_aborted_per_seed","packaging_dispersal_per_seed","shoot_length_start","shoot_leaf_count_new_and_shed_count","shoot_leaf_count","prop_allocation","years_repro","maxH","prop_maxH","prop_max_weight","prop_max_repro","scaled_growth_stem_diameter","scaled_growth_shoot_diameter"
"1","BAER_302","BAER",1.4,"Wilunga2012",581,6.94666666666667,14310.9,13857.769853318,13857.769853318,0,FALSE,FALSE,0,3.45259737991527,37.9003133992474,5659.4,8651.5,412.631160572337,168.33,694.67,38,633.203554899746,318.960611513019,458,5543.08023370966,5.26333333333333,35.6748004367982,8314.68961960829,396.567072477343,313.028332763019,460,526.34,356571.6647,0.4943565625,0.0209666666666667,0.110915945278655,1.46153846153846,0.0600122973188558,0.5875,204.979,0,0,4788.70521077161,0.957195318780758,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,645.203554899746,0,0,2790,0.208243727598566,0.00534631580752367,0,1.43681298682391,3.278951330305
"2","BAER_102","BAER",1.4,"Waratah2011",128,2.40333333333333,583.1,514.205086543235,514.205086543235,0,FALSE,FALSE,0,2.13577634794436,4.53646851842992,228.3,354.8,16.9220985691574,100,239,18,50.5428250808541,25.9748903910098,60,207.653064208782,1.40333333333333,3.75107035503247,306.552022334453,14.6209231638054,24.9861772660098,62,139,36989.985,0.4943565625,0.0209666666666667,0.43613724105925,1.125,0.356133634619852,0.5875,204.979,0,0,4788.70521077161,0.957195318780758,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,52.5428250808541,0,0,2790,0.0458781362007168,0.00021783652651944,0,0.383089466404601,0.865931213497729
"3","BAER_306","BAER",1.4,"Wilunga2012",205,3.26666666666667,1809.6,1552.261748763,1552.261748763,0,FALSE,FALSE,0,1.95046973316317,8.38107106807677,634.5,1175.1,56.0461049284579,146.67,326.67,10,138.146828848643,68.2937914298908,153,563.814281573617,1.8,6.69159235214626,988.447467189379,47.1437583715125,68.2937914298908,156,180,66882.942,0.4943565625,0.0209666666666667,0.126464755225294,1,0.0723867502666765,0.5875,204.979,0,0,4788.70521077161,0.957195318780758,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,14,138.146828848643,0,0,2790,0.0734767025089606,0.000676036663333181,0,0.491373662371697,1.12134977287476
"4","BAER_104","BAER",1.4,"Waratah2011",325,3.84333333333333,3213.7,2714.01100613239,2714.01100613239,0,FALSE,FALSE,0,1.86119230768297,11.6012820778226,999.2,2214.5,105.620031796502,99,215,32,216.090654871444,115.229894893121,178,876.122682336259,2.05333333333333,9.08478782248088,1837.88832379613,87.6576307056979,106.825833330621,176,116,28592.84,0.4943565625,0.0209666666666667,0.260066762931055,2.13333333333333,0.148085996680594,0.5875,204.979,0,0,4788.70521077161,0.957195318780758,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,233.090654871444,0,0,2790,0.116487455197133,0.00120058522599129,0,0.56052995559438,0.722647631408176
"5","BAER_904","BAER",32,"Basin1981",1735,28.7,331289.3,26881.5895928691,26881.5895928691,0,TRUE,FALSE,0,0.084624056253185,646.924613208844,251609.2,79680.1,3261.12278308322,163,301,752.961618543829,185.831478068404,90.3311521485846,135,22851.961438914,0.98,43.4259210913063,4029.6281539551,164.923389657098,28.2141035364831,135,138,50265.12,0.151826288149619,0.0244333333333333,1.72403034821533,2.18992891009239,4.05185185185185,0.5875,204.979,0,0,4788.70521077161,0.957195318780758,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,594.963844861744,0,27,2790,0.621863799283154,0.12376420920092,0,0.267525660624591,0.859701492537313
"6","BAER_905","BAER",32,"Basin1981",1890,34.7266666666667,430792.6,192300.351203085,146792.120155466,45508.231047619,TRUE,TRUE,0.236651835334188,0.416650840037018,947.144143271655,348083.9,82708.7,3385.07639836289,126,169,545.105669000651,55.0611786869345,38.0367914343699,-35,130269.353342503,5.46,274.420945724457,16522.7668129628,676.238750871602,8.35973438118019,40,43,9957.725,0.151826288149619,0.0244333333333333,1.44525547445255,1.55905511811024,9.9,0.5875,204.979,0,0,4788.70521077161,0.957195318780758,0,45508.231047619,0,28833.131047619,28833.131047619,0,16675.1,0,2742,0,2742,0,0,2742,1,1,0,0,0.633580571774995,0.633580571774995,0,0.366419428225005,0,Inf,0,Inf,Inf,0,Inf,77,0,250.528363025552,0,27,2790,0.67741935483871,0.160936998172318,0.142319275968215,1.49050010919415,0.267878001297858
"7","BAER_901","BAER",32,"Basin1981",2790,60.8733333333333,2676777.9,980081.29793683,660319.756585379,319761.541351451,TRUE,TRUE,0.326260221498544,0.283271217020818,2910.34214766074,2081500,595277.9,24363.3519781719,233,366,610.907670884545,189.961066469924,81.0894234974479,70,568093.790016789,6.68333333333334,603.976380007163,92225.9665685901,3774.59617606781,28.8410836150717,138,133,62538.595,0.151826288149619,0.0244333333333333,1.68872926944296,2.2899708538077,3.21596252451693,0.5875,204.979,80642.7414814815,70362.8,4788.70521077161,0.957195318780758,10279.9414814815,309481.599869969,24984.2959100541,37340.845968254,62325.1418783081,560.981818181818,246595.476173479,0.0298661174047374,5824,2018,3632,2,174,5650,0.969790593889461,0.967851226141724,0.0321487738582758,0.0781341489800796,0.116777164040539,0.194911313020619,0.00175437551311163,0.771185537607994,59.0801234567901,1778.62988431017,143.587907529047,214.602563035942,358.190470564989,3.22403343782654,1417.21538030735,300,0,534.093433263264,0.0104888660799077,27,2790,1,1,1,1.82445220936158,0.828552887735237
"8","BAER_902","BAER",32,"Basin1981",2250,49.73,1403927.3,440488.584612956,422618.876049563,17869.7085633926,TRUE,TRUE,0.0405679265879142,0.358141994962494,1942.346913608,1108649.3,295278,12085.0477489768,167,298,681.382086250814,185.831478068404,36.260896808413,20,367701.579897414,6.8,494.869957978771,54917.296152149,2247.63831454907,28.2141035364831,135,131,47818.275,0.151826288149619,0.0244333333333333,0.944661223651368,1.08434358833528,3.66666666666667,0.5875,204.979,0,0,4788.70521077161,0.957195318780758,0,17869.7085633926,5099.4,2667.69114285714,7767.09114285714,0,10102.6174205355,0,414,0,414,0,0,414,1,1,0,0.285365594067185,0.149285654737655,0.434651248804839,0,0.565348751195161,0,Inf,Inf,Inf,Inf,0,Inf,155,0,238.831478068404,0,27,2790,0.806451612903226,0.524484044791314,0.0558844834430917,1.85630050229308,0.816093445814406
"9","BAER_907","BAER",32,"Basin1981",2450,53.0266666666667,2301697.1,360748.013172525,231675.421410065,129072.59176246,TRUE,TRUE,0.357791552688973,0.106087640437211,2208.40405829733,1855852.3,445844.8,18247.3997271487,143,321,419.582310684835,199.596772740137,64.0466272327982,500,208814.655680378,2.26,184.233151022752,22860.7657296869,935.638433684322,30.3040371317782,145,178,64834.72,0.151826288149619,0.0244333333333333,1.41208852400478,2.12621578109515,2.10214977388991,0.5875,204.979,0,0,4788.70521077161,0.957195318780758,0,129072.59176246,13139.3601659751,66246.8,79386.1601659751,0,49686.4315964847,0,6300,0,6300,0,0,6300,1,1,0,0.101798220571539,0.513252264446026,0.615050485017565,0,0.384949514982435,0,Inf,Inf,Inf,Inf,0,Inf,102,0,421.841487487875,0,27,2790,0.878136200716846,0.859876009884869,0.403652644457939,0.616946931644463,1.10889033095393
"10","BAER_903","BAER",32,"Basin1981",2090,25.29,495725,144993.661025577,62445.0076049139,82548.6534206631,TRUE,TRUE,0.569325947332977,0.134637184752975,502.32817747821,393178.2,102546.8,4197.00409276944,227,318,693.252497849294,165.183536060803,38.5917427888567,-60,55269.9706940448,1.36,52.5739247392944,7175.03691086906,293.657718043754,25.0792031435406,145,91,38932.075,0.151826288149619,0.0244333333333333,1.00932996355643,1.14728942009636,4.19686195356728,0.5875,204.979,8315.60317698562,7137.48512820513,4788.70521077161,0.957195318780758,1178.11804878049,81370.5353718827,175.4,20595.8477460317,20771.2477460317,0,60599.2876258509,0.00807265388496468,1982,0,1966,0,16,1966,0.991927346115035,0.985728197857125,0.0142718021428753,0.00212480752540168,0.249499499901912,0.251624307427314,0,0.734103890429811,73.6323780487805,5085.65846074267,10.9625,1287.24048412698,1298.20298412698,0,3787.45547661568,135,25,254.183536060803,0.00812530727514127,27,2790,0.74910394265233,0.185194670054621,0.258156916156261,0.371260100458615,0.566904607397794
"11","BAER_308","BAER",1.4,"Wilunga2012",370,4.64666666666667,5481.5,5172.60101944723,5172.60101944723,0,FALSE,FALSE,0,2.87611976544552,16.9579331716423,1787.4,3694.1,176.189189189189,142.67,464.67,23,359.391543596381,184.094203396376,282,1717.1248903495,3.22,15.3593512031556,3455.47612909773,164.80808246889,177.667568083876,275,322,153517.3318,0.4943565625,0.0209666666666667,0.121246772039119,2.3,0.0639970539368908,0.5875,204.979,0,0,4788.70521077161,0.957195318780758,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,372.391543596381,0,0,2790,0.132616487455197,0.00204779783933512,0,0.879012884909369,2.00597014925373
"12","BAER_309","BAER",1.4,"Wilunga2012",278,4.48,3359.2,3201.33686946331,3201.33686946331,0,FALSE,FALSE,0,3.05772973419118,15.7632552986521,1068.9,2290.3,109.235294117647,127.67,448,10,216.479420076004,108.995448210767,237,1034.64114272275,3.20333333333333,14.4831522854232,2166.69572674056,103.340018763461,107.018021960767,204,320.33,144757.4313135,0.4943565625,0.0209666666666667,0.0875352361860291,1.66666666666667,0.0461937675021906,0.5875,204.979,0,0,4788.70521077161,0.957195318780758,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,30,220.479420076004,0,0,2790,0.0996415770609319,0.00125494162216447,0,0.874463128776298,1.99556651524984
